variant,seed,train_seconds,n_params
seg-only,0,76.98545122146606,65786
seg-only,1,75.57424831390381,65786
seg-only,2,75.86797595024109,65786
seg+pos,0,78.45878720283508,65786
seg+pos,1,78.96353936195374,65786
seg+pos,2,78.89922833442688,65786
seg+pos+rms,0,86.84306502342224,65786
seg+pos+rms,1,86.74151229858398,65786
seg+pos+rms,2,87.01440691947937,65786
seg+pos+rms+psd,0,122.39516758918762,65786
seg+pos+rms+psd,1,121.44887900352478,65786
seg+pos+rms+psd,2,122.43566250801086,65786
full,0,122.952064037323,65786
full,1,124.39416170120239,65786
full,2,123.33506894111633,65786
