method,config,edge_mae,ler_mae,lwr_mae,seed
seg-only,"(1.5, 8.0, 0.3, 0.0)",0.8522188663482666,0.4163915514945984,0.5537556409835815,0
seg-only,"(1.5, 8.0, 0.3, 0.0)",0.8065310716629028,0.3649481534957886,0.45818209648132324,0
seg-only,"(1.5, 8.0, 0.3, 0.0)",0.8606002926826477,0.3937839865684509,0.6596221923828125,0
seg-only,"(1.5, 8.0, 0.3, 0.0)",0.8348998725414276,0.4124554991722107,0.5265966653823853,0
seg-only,"(1.5, 8.0, 0.3, 0.0)",0.8255645334720612,0.43061256408691406,0.5427259206771851,0
seg-only,"(1.5, 8.0, 0.3, 0.0)",0.8510110080242157,0.5000677406787872,0.6517868041992188,0
seg-only,"(1.5, 8.0, 0.3, 0.0)",0.824334442615509,0.43571364879608154,0.6101926565170288,0
seg-only,"(1.5, 8.0, 0.3, 0.0)",0.8320392370223999,0.3786619305610657,0.5756080150604248,0
seg-only,"(1.5, 8.0, 0.3, 0.0)",0.839320719242096,0.3856314420700073,0.5481610298156738,0
seg-only,"(1.5, 8.0, 0.3, 0.0)",0.8466091752052307,0.4048979878425598,0.5343281030654907,0
seg-only,"(1.5, 8.0, 0.3, 0.0)",0.8209308385848999,0.35894590616226196,0.6151129007339478,0
seg-only,"(1.5, 8.0, 0.3, 0.0)",0.8216037750244141,0.4219610095024109,0.6822640895843506,0
seg-only,"(1.5, 8.0, 0.3, 0.0)",0.8030356168746948,0.3894573450088501,0.5442780256271362,0
seg-only,"(1.5, 8.0, 0.3, 0.0)",0.821593165397644,0.4521524906158447,0.6410644054412842,0
seg-only,"(1.5, 8.0, 0.3, 0.0)",0.8240095973014832,0.38728392124176025,0.5398099422454834,0
seg-only,"(1.5, 8.0, 0.3, 0.3)",0.8228248655796051,0.42920005321502686,0.48348677158355713,0
seg-only,"(1.5, 8.0, 0.3, 0.3)",0.8001374006271362,0.40618008375167847,0.3162877559661865,0
seg-only,"(1.5, 8.0, 0.3, 0.3)",0.8086262345314026,0.29341769218444824,0.3637521266937256,0
seg-only,"(1.5, 8.0, 0.3, 0.3)",0.7675585150718689,0.3290354013442993,0.3836325407028198,0
seg-only,"(1.5, 8.0, 0.3, 0.3)",0.8100979030132294,0.3597262501716614,0.4670107364654541,0
seg-only,"(1.5, 8.0, 0.3, 0.3)",0.8164683878421783,0.4495982527732849,0.5832903385162354,0
seg-only,"(1.5, 8.0, 0.3, 0.3)",0.827892392873764,0.4149406850337982,0.44880175590515137,0
seg-only,"(1.5, 8.0, 0.3, 0.3)",0.7891651391983032,0.38386380672454834,0.5253677368164062,0
seg-only,"(1.5, 8.0, 0.3, 0.3)",0.8529039323329926,0.48648273944854736,0.4575974941253662,0
seg-only,"(1.5, 8.0, 0.3, 0.3)",0.8246937394142151,0.4052909016609192,0.5210678577423096,0
seg-only,"(1.5, 8.0, 0.3, 0.3)",0.8601738810539246,0.46119141578674316,0.5344243049621582,0
seg-only,"(1.5, 8.0, 0.3, 0.3)",0.8093400299549103,0.3992964029312134,0.41126346588134766,0
seg-only,"(1.5, 8.0, 0.3, 0.3)",0.8107815086841583,0.37154918909072876,0.30539989471435547,0
seg-only,"(1.5, 8.0, 0.3, 0.3)",0.8088605403900146,0.4626004695892334,0.6403727531433105,0
seg-only,"(1.5, 8.0, 0.3, 0.3)",0.83235102891922,0.46471378207206726,0.4917799234390259,0
seg-only,"(1.5, 8.0, 0.3, 0.6)",0.8092294633388519,0.43797656893730164,0.3214282989501953,0
seg-only,"(1.5, 8.0, 0.3, 0.6)",0.8083512187004089,0.43877875804901123,0.31972038745880127,0
seg-only,"(1.5, 8.0, 0.3, 0.6)",0.8448324501514435,0.4126952886581421,0.37193238735198975,0
seg-only,"(1.5, 8.0, 0.3, 0.6)",0.8021381199359894,0.3773890733718872,0.11684060096740723,0
seg-only,"(1.5, 8.0, 0.3, 0.6)",0.8590021133422852,0.38908982276916504,0.20886719226837158,0
seg-only,"(1.5, 8.0, 0.3, 0.6)",0.8384124338626862,0.45030149817466736,0.34433144330978394,0
seg-only,"(1.5, 8.0, 0.3, 0.6)",0.8323999047279358,0.43633899092674255,0.2905435562133789,0
seg-only,"(1.5, 8.0, 0.3, 0.6)",0.8352397978305817,0.3922279477119446,0.4335397481918335,0
seg-only,"(1.5, 8.0, 0.3, 0.6)",0.8806681334972382,0.47303342819213867,0.194754958152771,0
seg-only,"(1.5, 8.0, 0.3, 0.6)",0.8489938378334045,0.38209307193756104,0.24940574169158936,0
seg-only,"(1.5, 8.0, 0.3, 0.6)",0.8448983430862427,0.4495268762111664,0.25680649280548096,0
seg-only,"(1.5, 8.0, 0.3, 0.6)",0.8208822011947632,0.43695756793022156,0.3514772653579712,0
seg-only,"(1.5, 8.0, 0.3, 0.6)",0.7896111607551575,0.3518909811973572,0.2079787254333496,0
seg-only,"(1.5, 8.0, 0.3, 0.6)",0.843866616487503,0.40399861335754395,0.2673696279525757,0
seg-only,"(1.5, 8.0, 0.3, 0.6)",0.7891482710838318,0.44809186458587646,0.33689987659454346,0
seg-only,"(1.5, 8.0, 0.3, -0.3)",0.8734767138957977,0.432002991437912,0.7041172981262207,0
seg-only,"(1.5, 8.0, 0.3, -0.3)",0.8438197374343872,0.37631046772003174,0.6522262096405029,0
seg-only,"(1.5, 8.0, 0.3, -0.3)",0.7894484102725983,0.40399426221847534,0.7105108499526978,0
seg-only,"(1.5, 8.0, 0.3, -0.3)",0.8614952564239502,0.4629356265068054,0.7348672151565552,0
seg-only,"(1.5, 8.0, 0.3, -0.3)",0.8549997210502625,0.429205060005188,0.7045066356658936,0
seg-only,"(1.5, 8.0, 0.3, -0.3)",0.8619888126850128,0.36180323362350464,0.6844199895858765,0
seg-only,"(1.5, 8.0, 0.3, -0.3)",0.805000901222229,0.4325813055038452,0.749748706817627,0
seg-only,"(1.5, 8.0, 0.3, -0.3)",0.8210729658603668,0.4060095548629761,0.659019947052002,0
seg-only,"(1.5, 8.0, 0.3, -0.3)",0.9006531834602356,0.5060701668262482,0.9085361957550049,0
seg-only,"(1.5, 8.0, 0.3, -0.3)",0.8153803646564484,0.38916242122650146,0.6188734769821167,0
seg-only,"(1.5, 8.0, 0.3, -0.3)",0.8638448417186737,0.453891396522522,0.754991888999939,0
seg-only,"(1.5, 8.0, 0.3, -0.3)",0.8292141556739807,0.43350404500961304,0.7365403175354004,0
seg-only,"(1.5, 8.0, 0.3, -0.3)",0.8317247331142426,0.4414765238761902,0.7714351415634155,0
seg-only,"(1.5, 8.0, 0.3, -0.3)",0.8553649187088013,0.45038607716560364,0.8433862924575806,0
seg-only,"(1.5, 8.0, 0.3, -0.3)",0.8489888310432434,0.3871087431907654,0.5622808933258057,0
seg-only,"(1.5, 8.0, 0.7, 0.0)",0.6115416586399078,0.2544260621070862,0.3625425100326538,0
seg-only,"(1.5, 8.0, 0.7, 0.0)",0.5957102477550507,0.18392479419708252,0.28687477111816406,0
seg-only,"(1.5, 8.0, 0.7, 0.0)",0.6371254920959473,0.2294548749923706,0.3884347677230835,0
seg-only,"(1.5, 8.0, 0.7, 0.0)",0.6595959663391113,0.2753504514694214,0.41683077812194824,0
seg-only,"(1.5, 8.0, 0.7, 0.0)",0.589433491230011,0.2547123432159424,0.35285770893096924,0
seg-only,"(1.5, 8.0, 0.7, 0.0)",0.6213679611682892,0.18806737661361694,0.3524458408355713,0
seg-only,"(1.5, 8.0, 0.7, 0.0)",0.6365581750869751,0.2681308388710022,0.4217411279678345,0
seg-only,"(1.5, 8.0, 0.7, 0.0)",0.6054688692092896,0.1627662181854248,0.2229022979736328,0
seg-only,"(1.5, 8.0, 0.7, 0.0)",0.603479415178299,0.18369638919830322,0.32797396183013916,0
seg-only,"(1.5, 8.0, 0.7, 0.0)",0.6115607619285583,0.17511272430419922,0.16324734687805176,0
seg-only,"(1.5, 8.0, 0.7, 0.0)",0.611244797706604,0.19702929258346558,0.19530034065246582,0
seg-only,"(1.5, 8.0, 0.7, 0.0)",0.623278945684433,0.19904249906539917,0.29855966567993164,0
seg-only,"(1.5, 8.0, 0.7, 0.0)",0.6109315752983093,0.2209671139717102,0.24134624004364014,0
seg-only,"(1.5, 8.0, 0.7, 0.0)",0.5941456854343414,0.24985897541046143,0.2988007068634033,0
seg-only,"(1.5, 8.0, 0.7, 0.0)",0.6344811022281647,0.17563515901565552,0.2892632484436035,0
seg-only,"(1.5, 8.0, 0.7, 0.3)",0.6215817332267761,0.2900920510292053,0.29306304454803467,0
seg-only,"(1.5, 8.0, 0.7, 0.3)",0.584791511297226,0.15539270639419556,0.13788020610809326,0
seg-only,"(1.5, 8.0, 0.7, 0.3)",0.5838128626346588,0.14646202325820923,0.21744287014007568,0
seg-only,"(1.5, 8.0, 0.7, 0.3)",0.628215491771698,0.20851892232894897,0.14866220951080322,0
seg-only,"(1.5, 8.0, 0.7, 0.3)",0.6269610822200775,0.20262819528579712,0.3507688045501709,0
seg-only,"(1.5, 8.0, 0.7, 0.3)",0.6703373193740845,0.2548264265060425,0.23643279075622559,0
seg-only,"(1.5, 8.0, 0.7, 0.3)",0.5999480187892914,0.17810994386672974,0.19952261447906494,0
