detector,localization,k_n,edge_mae,ler_mae,lwr_mae
threshold,pixel,5.443049218649101,1.3433398226151534,0.2862811387644295,0.43295440322178713
threshold,sub-pixel,5.443049218649101,1.3266867770889972,0.3120391105134809,0.48976953174340077
canny,pixel,5.443049218649101,1.5000811794091942,0.3720204438069541,0.5771058965714002
canny,sub-pixel,5.443049218649101,1.4594075261641462,0.2828787190172516,0.4101067272456751
threshold,pixel,5.443049218649101,1.3457829977479188,0.28209415828928897,0.4768306389463526
threshold,sub-pixel,5.443049218649101,1.3567508566848894,0.29047225829727996,0.48599012415743803
canny,pixel,5.443049218649101,1.5326737529421177,0.317239152401129,0.7126841916707933
canny,sub-pixel,5.443049218649101,1.5026281119471747,0.2552250828413688,0.5773366973017133
threshold,pixel,5.443049218649101,1.3157586329651656,0.26724486397139846,0.39854372973837604
threshold,sub-pixel,5.443049218649101,1.3174971621659934,0.2975205132635228,0.44001670896970824
canny,pixel,5.443049218649101,1.485774159567069,0.36662111282798115,0.5130929147645145
canny,sub-pixel,5.443049218649101,1.4577477914876986,0.2843628099365746,0.3511495468905199
threshold,pixel,5.443049218649101,1.3938505124638116,0.28707226754472326,0.39653745250016326
threshold,sub-pixel,5.443049218649101,1.3751897288172579,0.3107199364944574,0.4189300991215248
canny,pixel,5.443049218649101,1.5255786396791673,0.34066661695761236,0.3691052828335548
canny,sub-pixel,5.443049218649101,1.4851507951777871,0.2624042338728141,0.273952644710979
threshold,pixel,5.443049218649101,1.3727662680499901,0.28140368097551893,0.5749430912408986
threshold,sub-pixel,5.443049218649101,1.361580270857931,0.3042027332892273,0.5800334780478344
canny,pixel,5.443049218649101,1.4356602666563778,0.33818868356946796,0.6534952525490434
canny,sub-pixel,5.443049218649101,1.3972723790629342,0.2681718881184503,0.47473096333464393
threshold,pixel,5.443049218649101,1.337878247226631,0.29501698885599037,0.20053848480727243
threshold,sub-pixel,5.443049218649101,1.3331888874939706,0.3145716543805428,0.2212209887261123
canny,pixel,5.443049218649101,1.5160095612575928,0.3238861221807784,0.20869164901194104
canny,sub-pixel,5.443049218649101,1.4643935608692507,0.2616670327651497,0.2000904915439048
threshold,pixel,5.443049218649101,1.3768880288032177,0.30827762610241716,0.41652030260382955
threshold,sub-pixel,5.443049218649101,1.3835626223610913,0.307728394216535,0.4305905059425401
canny,pixel,5.443049218649101,1.5073943105094865,0.3974084629214185,0.5804465959843168
canny,sub-pixel,5.443049218649101,1.4434214077558751,0.3076335225272674,0.4424187829071975
threshold,pixel,5.443049218649101,1.331919512495817,0.2840334879922174,0.24216235944787434
threshold,sub-pixel,5.443049218649101,1.327550593393645,0.3118492373597127,0.3006431654081172
canny,pixel,5.443049218649101,1.5146755575173492,0.29054207149688127,0.2922555497928223
canny,sub-pixel,5.443049218649101,1.4993070538082987,0.23040212210362365,0.2049699299959724
threshold,pixel,5.443049218649101,1.3734837534618478,0.26361276133985134,0.30006743129641045
threshold,sub-pixel,5.443049218649101,1.3494210103255195,0.30615009501624046,0.38016799910041854
canny,pixel,5.443049218649101,1.550100636404502,0.2942888961563964,0.3987768027222873
canny,sub-pixel,5.443049218649101,1.507126821209488,0.2565814292954227,0.3262366983101377
threshold,pixel,5.443049218649101,1.4084680943670116,0.3286748968309221,0.4270688849672619
threshold,sub-pixel,5.443049218649101,1.4081173475300601,0.3545976191244773,0.4868975249459695
canny,pixel,5.443049218649101,1.5171352003728216,0.3231634265378678,0.4718240159558367
canny,sub-pixel,5.443049218649101,1.5011705871736805,0.21524744778317983,0.3222881348547282
threshold,pixel,5.443049218649101,1.329300350857958,0.27580806424124527,0.4836066281944953
threshold,sub-pixel,5.443049218649101,1.3090215237972491,0.303511033612505,0.518841711476349
canny,pixel,5.443049218649101,1.409087791753588,0.36224890554397593,0.6597320385963819
canny,sub-pixel,5.443049218649101,1.405743247492949,0.25179876329924433,0.510681499777335
threshold,pixel,5.443049218649101,1.316970113014996,0.29644971118830465,0.3668725632879246
threshold,sub-pixel,5.443049218649101,1.308421018916093,0.34024714986679727,0.41149889732842193
canny,pixel,5.443049218649101,1.4680075009078815,0.3382164170507981,0.48272655836540035
canny,sub-pixel,5.443049218649101,1.4305358556076375,0.266209765778075,0.41171657151961694
threshold,pixel,5.443049218649101,1.3619555926797704,0.25802733020028623,0.29297911621489137
threshold,sub-pixel,5.443049218649101,1.3719310657939876,0.2750304580697399,0.3159814697094352
canny,pixel,5.443049218649101,1.54504401947376,0.3466875297872549,0.5222630227911267
canny,sub-pixel,5.443049218649101,1.5082097159921521,0.2764604885754277,0.4681130950572896
threshold,pixel,5.443049218649101,1.3328259912750458,0.33847725138036167,0.42883585558245274
threshold,sub-pixel,5.443049218649101,1.327226705302608,0.35356574222217796,0.4456083662479744
canny,pixel,5.443049218649101,1.5005712370625848,0.36853748573933554,0.4246408210179551
canny,sub-pixel,5.443049218649101,1.4656812928867062,0.2892155999314503,0.27471357444157163
threshold,pixel,5.443049218649101,1.3535718013693534,0.28777892265162486,0.4276016061102137
threshold,sub-pixel,5.443049218649101,1.3572810159824698,0.31950572246387343,0.47054170721272026
canny,pixel,5.443049218649101,1.4869608745783118,0.4130071251131263,0.6194868491304213
canny,sub-pixel,5.443049218649101,1.4629109273534961,0.29772730819270266,0.43782573327847407
threshold,pixel,5.443049218649101,1.2885697246174983,0.29822555784383875,0.5551959230048884
threshold,sub-pixel,5.443049218649101,1.304498541881384,0.31663879453829746,0.5888311164211506
canny,pixel,5.443049218649101,1.5218560003449744,0.3590137178979337,0.6485646386922701
canny,sub-pixel,5.443049218649101,1.4773674667595693,0.28721993258840006,0.5570385928443238
threshold,pixel,5.443049218649101,1.3209153787975831,0.2719948666509229,0.6074902546375014
