method,edge_mae,ler_mae,lwr_mae
Classical: Threshold + sub-pixel,0.2848522058993232,0.10509321074387112,0.15626326660416723
Classical: Threshold + sub-pixel,0.2717789485937644,0.08701682092478769,0.09706973650741046
Classical: Threshold + sub-pixel,0.28427771141738184,0.10124192108313579,0.1360906283461425
Classical: Threshold + sub-pixel,0.2729742394041182,0.08918601948467908,0.145292879337366
Classical: Threshold + sub-pixel,0.2833541810455794,0.0945101378531803,0.1593512001372921
Classical: Threshold + sub-pixel,0.28845966710576837,0.11232410343107468,0.1591695749239166
Classical: Threshold + sub-pixel,0.29417834144682264,0.09635494571590275,0.14168750996973922
Classical: Threshold + sub-pixel,0.28647919247604176,0.09983109152055292,0.14758145039115633
Classical: Threshold + sub-pixel,0.2840017226024303,0.07285105934940872,0.08737311979943962
Classical: Threshold + sub-pixel,0.28162119775960975,0.0911282709662018,0.12381456613588782
Classical: Threshold + sub-pixel,0.28601369062603776,0.09690785971503679,0.16976890798881117
Classical: Threshold + sub-pixel,0.29012381171910423,0.08225128359610845,0.11647024791227079
Classical: Threshold + sub-pixel,0.2962528480932863,0.09140470056489114,0.13059688637529243
Classical: Threshold + sub-pixel,0.29029765777379,0.08716046072119421,0.13765787856396816
Classical: Threshold + sub-pixel,0.2857020123173551,0.08444377382478774,0.10345288703121902
Classical: Threshold + sub-pixel,0.2981841158925517,0.059310557668261654,0.0590595289514253
Classical: Threshold + sub-pixel,0.3046613969614324,0.08843115667979162,0.09690371164394751
Classical: Threshold + sub-pixel,0.3003905590324967,0.09146817097210835,0.14094668882795336
Classical: Threshold + sub-pixel,0.2918552874312245,0.0898962160176241,0.12318530694487762
Classical: Threshold + sub-pixel,0.3032924030491409,0.07546916677822968,0.11230094482084385
Classical: Threshold + sub-pixel,0.2801470919081659,0.09096281700527609,0.05816214405040587
Classical: Threshold + sub-pixel,0.2805756133102569,0.08788612948333019,0.041728842529983545
Classical: Threshold + sub-pixel,0.2779504299012161,0.0894907340620964,0.08319073775234531
Classical: Threshold + sub-pixel,0.2740311361619526,0.09628729720941664,0.08699859091408157
Classical: Threshold + sub-pixel,0.2811742201359748,0.08187775908793704,0.05429175951636589
Classical: Threshold + sub-pixel,0.291291309841772,0.08898209222568654,0.034799347523405855
Classical: Threshold + sub-pixel,0.285528275797725,0.08092155151343416,0.054181884304194794
