method,config,edge_mae,ler_mae,lwr_mae,seed
seg-only,"(1.5, 8.0, 0.3, 0.0)",0.4499954730272293,0.21473312377929688,0.2760111093521118,0
seg-only,"(1.5, 8.0, 0.3, 0.0)",0.4440433531999588,0.2134535312652588,0.30399370193481445,0
seg-only,"(1.5, 8.0, 0.3, 0.0)",0.4486470967531204,0.21344876289367676,0.3150995969772339,0
seg-only,"(1.5, 8.0, 0.3, 0.0)",0.44349126517772675,0.19863712787628174,0.2706085443496704,0
seg-only,"(1.5, 8.0, 0.3, 0.6)",0.45942410826683044,0.21195805072784424,0.13461244106292725,0
seg-only,"(1.5, 8.0, 0.3, 0.6)",0.44275957345962524,0.20568937063217163,0.17233562469482422,0
seg-only,"(1.5, 8.0, 0.3, 0.6)",0.44498172402381897,0.23018556833267212,0.18054485321044922,0
seg-only,"(1.5, 8.0, 0.3, 0.6)",0.4585869461297989,0.21398049592971802,0.17499244213104248,0
seg-only,"(1.5, 8.0, 0.7, 0.0)",0.25826818495988846,0.08253252506256104,0.14008140563964844,0
seg-only,"(1.5, 8.0, 0.7, 0.0)",0.26348987221717834,0.07766991853713989,0.08434224128723145,0
seg-only,"(1.5, 8.0, 0.7, 0.0)",0.26443175971508026,0.09041869640350342,0.14894330501556396,0
seg-only,"(1.5, 8.0, 0.7, 0.0)",0.24779537320137024,0.07858693599700928,0.11027133464813232,0
seg-only,"(1.5, 8.0, 0.7, 0.6)",0.2604716271162033,0.09231889247894287,0.05922424793243408,0
seg-only,"(1.5, 8.0, 0.7, 0.6)",0.2569575607776642,0.10994076728820801,0.06038379669189453,0
seg-only,"(1.5, 8.0, 0.7, 0.6)",0.2610270380973816,0.08856678009033203,0.05084812641143799,0
seg-only,"(1.5, 8.0, 0.7, 0.6)",0.24750125408172607,0.08353286981582642,0.04168999195098877,0
seg-only,"(1.5, 20.0, 0.3, 0.0)",0.3383145183324814,0.13156253099441528,0.15988707542419434,0
seg-only,"(1.5, 20.0, 0.3, 0.0)",0.34845858812332153,0.12730610370635986,0.18789958953857422,0
seg-only,"(1.5, 20.0, 0.3, 0.0)",0.34694674611091614,0.10233086347579956,0.20989394187927246,0
seg-only,"(1.5, 20.0, 0.3, 0.0)",0.35295188426971436,0.12471663951873779,0.1984565258026123,0
seg-only,"(1.5, 20.0, 0.3, 0.6)",0.3601975589990616,0.1430349349975586,0.12967514991760254,0
seg-only,"(1.5, 20.0, 0.3, 0.6)",0.34340065717697144,0.150448739528656,0.11232197284698486,0
seg-only,"(1.5, 20.0, 0.3, 0.6)",0.3619092255830765,0.11912167072296143,0.11236453056335449,0
seg-only,"(1.5, 20.0, 0.3, 0.6)",0.3552924543619156,0.14136451482772827,0.08731043338775635,0
seg-only,"(1.5, 20.0, 0.7, 0.0)",0.1853618621826172,0.023158371448516846,0.0474390983581543,0
seg-only,"(1.5, 20.0, 0.7, 0.0)",0.1784338653087616,0.03717261552810669,0.037642478942871094,0
seg-only,"(1.5, 20.0, 0.7, 0.0)",0.17899714410305023,0.02183544635772705,0.034917593002319336,0
seg-only,"(1.5, 20.0, 0.7, 0.0)",0.18686796724796295,0.03133195638656616,0.05006909370422363,0
seg-only,"(1.5, 20.0, 0.7, 0.6)",0.1764271780848503,0.029103219509124756,0.03240370750427246,0
seg-only,"(1.5, 20.0, 0.7, 0.6)",0.1784064620733261,0.0321580171585083,0.0019526481628417969,0
seg-only,"(1.5, 20.0, 0.7, 0.6)",0.17716557532548904,0.03783822059631348,0.008609652519226074,0
seg-only,"(1.5, 20.0, 0.7, 0.6)",0.1811092421412468,0.023281872272491455,0.030114293098449707,0
seg-only,"(3.0, 8.0, 0.3, 0.0)",0.8179241716861725,0.34805262088775635,0.46109724044799805,0
seg-only,"(3.0, 8.0, 0.3, 0.0)",0.826587051153183,0.36660635471343994,0.46676158905029297,0
seg-only,"(3.0, 8.0, 0.3, 0.0)",0.7951640486717224,0.34969592094421387,0.584434986114502,0
seg-only,"(3.0, 8.0, 0.3, 0.0)",0.8082381784915924,0.4008026123046875,0.5176777839660645,0
seg-only,"(3.0, 8.0, 0.3, 0.6)",0.8117588460445404,0.3968454599380493,0.31030774116516113,0
seg-only,"(3.0, 8.0, 0.3, 0.6)",0.7608573734760284,0.34690237045288086,0.2552056312561035,0
seg-only,"(3.0, 8.0, 0.3, 0.6)",0.8175852000713348,0.3463263511657715,0.2221848964691162,0
seg-only,"(3.0, 8.0, 0.3, 0.6)",0.7904401123523712,0.3579922914505005,0.26684069633483887,0
seg-only,"(3.0, 8.0, 0.7, 0.0)",0.44718900322914124,0.13970088958740234,0.2189168930053711,0
seg-only,"(3.0, 8.0, 0.7, 0.0)",0.4173353314399719,0.14038443565368652,0.22098231315612793,0
seg-only,"(3.0, 8.0, 0.7, 0.0)",0.4273033142089844,0.13597321510314941,0.18711042404174805,0
seg-only,"(3.0, 8.0, 0.7, 0.0)",0.45205530524253845,0.1259363889694214,0.18482017517089844,0
seg-only,"(3.0, 8.0, 0.7, 0.6)",0.42042800784111023,0.15318036079406738,0.11918973922729492,0
seg-only,"(3.0, 8.0, 0.7, 0.6)",0.4348088353872299,0.16783416271209717,0.11100220680236816,0
seg-only,"(3.0, 8.0, 0.7, 0.6)",0.44933369755744934,0.14226913452148438,0.13658618927001953,0
seg-only,"(3.0, 8.0, 0.7, 0.6)",0.44366300106048584,0.17158782482147217,0.1482830047607422,0
seg-only,"(3.0, 20.0, 0.3, 0.0)",0.6098710894584656,0.2125244140625,0.2996983528137207,0
seg-only,"(3.0, 20.0, 0.3, 0.0)",0.6385597884654999,0.20394086837768555,0.2971014976501465,0
seg-only,"(3.0, 20.0, 0.3, 0.0)",0.6322819888591766,0.19749248027801514,0.29343652725219727,0
seg-only,"(3.0, 20.0, 0.3, 0.0)",0.6532626748085022,0.23736059665679932,0.3812389373779297,0
seg-only,"(3.0, 20.0, 0.3, 0.6)",0.6256937086582184,0.21554458141326904,0.17953968048095703,0
seg-only,"(3.0, 20.0, 0.3, 0.6)",0.6316463351249695,0.23092615604400635,0.17511415481567383,0
