detector,localization,k_n,edge_mae,ler_mae,lwr_mae
threshold,pixel,0.3,0.41546815157186157,0.09463106393618859,0.12413949194224383
threshold,sub-pixel,0.3,0.28887702537069815,0.10392272905812783,0.14184822883584358
canny,pixel,0.3,0.49603991727407426,0.16934072872968897,0.2565067178935201
canny,sub-pixel,0.3,0.28887702537069815,0.10392272905812783,0.14184822883584358
threshold,pixel,0.3,0.39601988040617286,0.06873128775053461,0.07581542390703433
threshold,sub-pixel,0.3,0.27307974825249826,0.0910716395483877,0.1158776464149498
canny,pixel,0.3,0.48364638043552294,0.19161641661602036,0.2863763687503489
canny,sub-pixel,0.3,0.27307974825249826,0.0910716395483877,0.1158776464149498
threshold,pixel,0.3,0.4227826613690372,0.09612667433814803,0.1491970265206013
threshold,sub-pixel,0.3,0.2760864472098473,0.09626449872534226,0.13585214428388914
canny,pixel,0.3,0.4873668168581715,0.17481634128336832,0.24655330746448412
canny,sub-pixel,0.3,0.2760864472098473,0.09626449872534226,0.13585214428388914
threshold,pixel,0.3,0.4335857869056645,0.08981498194312809,0.0990595303646511
threshold,sub-pixel,0.3,0.27832060597780156,0.0845785748208765,0.10463310989312902
canny,pixel,0.3,0.49016600835844176,0.17263832389978928,0.22594656542655267
canny,sub-pixel,0.3,0.2805327928095813,0.08634431277588561,0.10877101820347845
threshold,pixel,0.3,0.4052318027360269,0.09285590467809501,0.10290470028974985
threshold,sub-pixel,0.3,0.27523860625519725,0.07888888351527412,0.10436762882786033
canny,pixel,0.3,0.4843610355583595,0.19053626791146205,0.26701111198951155
canny,sub-pixel,0.3,0.27703145821675457,0.08070500508305845,0.10999558136778287
threshold,pixel,1.0,0.4325031321893084,0.053551909981631174,0.05815888784988754
threshold,sub-pixel,1.0,0.28700998672741307,0.08691505068329142,0.12094271076647378
canny,pixel,1.0,0.4989205452346045,0.18921230303403336,0.23200769791824283
canny,sub-pixel,1.0,0.28700998672741307,0.08691505068329142,0.12094271076647378
threshold,pixel,1.0,0.4140720402638173,0.07332726637128728,0.13172777392527357
threshold,sub-pixel,1.0,0.27868882107708914,0.08517264050892559,0.12914232262479963
canny,pixel,1.0,0.5018113142991498,0.2011108840969833,0.28165924910069595
canny,sub-pixel,1.0,0.27868882107708914,0.08517264050892559,0.12914232262479963
threshold,pixel,1.0,0.43847126956711246,0.10420947770331734,0.1406402030304228
threshold,sub-pixel,1.0,0.2894782681861879,0.084517284651211,0.13133607665154057
canny,pixel,1.0,0.49025511504807373,0.21206133814740902,0.26962916845924134
canny,sub-pixel,1.0,0.2894782681861879,0.084517284651211,0.13133607665154057
threshold,pixel,1.0,0.42440300759640803,0.07020857281485515,0.11598098840309068
threshold,sub-pixel,1.0,0.27957320117885925,0.08419707055308301,0.11788693043776477
canny,pixel,1.0,0.49334562609306193,0.18063867519648857,0.2511950932748517
canny,sub-pixel,1.0,0.28130973159535355,0.0858465739236478,0.11791433873655688
threshold,pixel,1.0,0.41705009894668504,0.0820842470267964,0.10810650840046065
threshold,sub-pixel,1.0,0.29136242678376245,0.08988994805482864,0.11469976854351316
canny,pixel,1.0,0.5042319438735263,0.19956222183518113,0.2525901068194967
canny,sub-pixel,1.0,0.29136242678376245,0.08988994805482864,0.11469976854351316
threshold,pixel,2.0,0.4455114970262525,0.0616470096659365,0.0421167836976557
threshold,sub-pixel,2.0,0.30060898668249214,0.08738454419433528,0.09917782988125223
canny,pixel,2.0,0.5030050976049757,0.18235587245474527,0.24415046767334925
canny,sub-pixel,2.0,0.30530852934445185,0.0926636808266974,0.1117474940481391
threshold,pixel,2.0,0.41942288672003625,0.09226461420233445,0.1028885158990418
threshold,sub-pixel,2.0,0.2866744498050554,0.09140982439634515,0.1205223113807059
canny,pixel,2.0,0.5042201382344375,0.19871677186861503,0.23555798179859533
canny,sub-pixel,2.0,0.2866744498050554,0.09140982439634515,0.1205223113807059
threshold,pixel,2.0,0.40033098228718955,0.05819042840177535,0.12495394472839294
threshold,sub-pixel,2.0,0.27808843752214585,0.08243529166384189,0.1294882646938218
canny,pixel,2.0,0.4932128685194921,0.1749259086782774,0.26626967978600424
canny,sub-pixel,2.0,0.28023833965291106,0.08446668322711526,0.13325513764713937
threshold,pixel,2.0,0.42732641395741655,0.07607498237559773,0.12182979906074243
threshold,sub-pixel,2.0,0.29149282552459954,0.09890079172373223,0.16597026354983258
canny,pixel,2.0,0.515630112585026,0.20406938538524733,0.3282605423783562
canny,sub-pixel,2.0,0.30461784535635206,0.10793333998199262,0.17702962449122328
threshold,pixel,2.0,0.4340735395160432,0.07704811362682928,0.11281021240395317
threshold,sub-pixel,2.0,0.28772607633062086,0.0792420445736216,0.10263159983359271
canny,pixel,2.0,0.5067658788393923,0.1868997135625573,0.24392721387942018
canny,sub-pixel,2.0,0.28772607633062086,0.0792420445736216,0.10263159983359271
threshold,pixel,4.0,0.4073402517026143,0.0488750840209784,0.07553030373804193
threshold,sub-pixel,4.0,0.28866841035221147,0.06326128545575094,0.09835955183174416
canny,pixel,4.0,0.6030864319794453,0.2017974970743105,0.24578413825157996
canny,sub-pixel,4.0,0.4025812653290893,0.1134709260814053,0.14072846472765965
threshold,pixel,4.0,0.4234756697500539,0.06357179075009978,0.053711719182423234
threshold,sub-pixel,4.0,0.2904752421313755,0.08592772539415916,0.10521068746347328
canny,pixel,4.0,0.5565097365297617,0.19248864330178594,0.2711591371876758
canny,sub-pixel,4.0,0.35795661062448036,0.1045292910271387,0.1371693661354736
threshold,pixel,4.0,0.41411063266335546,0.06776344374897081,0.06565951230969747
threshold,sub-pixel,4.0,0.2981292508054739,0.08128687510804966,0.10740472690626346
canny,pixel,4.0,0.5454923216868578,0.18050546941492307,0.2560073556330451
canny,sub-pixel,4.0,0.36087250971159396,0.08954914076098108,0.10216726672612264
threshold,pixel,4.0,0.4301223482403508,0.06942460350323487,0.11772486620895473
threshold,sub-pixel,4.0,0.2957760977173642,0.07779607423462509,0.13418203167376186
canny,pixel,4.0,0.5997524409522286,0.2342655680944331,0.30555991043109376
canny,sub-pixel,4.0,0.3941013959535794,0.12776405385767375,0.1511672908428201
threshold,pixel,4.0,0.4281213334045305,0.07554827946939757,0.11098310469649575
threshold,sub-pixel,4.0,0.29670904505552753,0.07153293325725085,0.10673394628340827
canny,pixel,4.0,0.5565136112598996,0.20318365833461594,0.30034726893397723
canny,sub-pixel,4.0,0.3615518459850824,0.08853797302632438,0.12571059139229313
threshold,pixel,0.3,0.4060508120199523,0.09749355639582902,0.06445212090771535
threshold,sub-pixel,0.3,0.27165851777391314,0.09430860184283263,0.11550103588825267
canny,pixel,0.3,0.4820003315628784,0.2066524041872536,0.1796293055672742
canny,sub-pixel,0.3,0.27165851777391314,0.09430860184283263,0.11550103588825267
