variant,seed,train_seconds,n_params
seg-only,0,80.27542448043823,65786
seg-only,1,75.28564929962158,65786
seg-only,2,75.25360345840454,65786
seg+pos,0,78.72758173942566,65786
seg+pos,1,78.51986479759216,65786
seg+pos,2,78.95518970489502,65786
seg+pos+rms,0,86.69464612007141,65786
seg+pos+rms,1,86.99245357513428,65786
seg+pos+rms,2,87.51861834526062,65786
seg+pos+rms+psd,0,118.23540186882019,65786
seg+pos+rms+psd,1,121.65360522270203,65786
seg+pos+rms+psd,2,121.5775535106659,65786
full,0,146.8197751045227,65786
full,1,154.3530786037445,65786
full,2,146.93967080116272,65786
