method,config,edge_mae,ler_mae,lwr_mae,seed
seg-only,"(1.5, 8.0, 0.3, 0.0)",0.24123305827379227,0.043843746185302734,0.0539860725402832,0
seg-only,"(1.5, 8.0, 0.3, 0.0)",0.27169373631477356,0.0441400408744812,0.05896878242492676,0
seg-only,"(1.5, 8.0, 0.3, 0.0)",0.2630685120820999,0.04754900932312012,0.07842302322387695,0
seg-only,"(1.5, 8.0, 0.3, 0.0)",0.27937470376491547,0.04036742448806763,0.04580831527709961,0
seg-only,"(1.5, 8.0, 0.3, 0.0)",0.23610583692789078,0.057407259941101074,0.07728219032287598,0
seg-only,"(1.5, 8.0, 0.3, 0.0)",0.25492535531520844,0.051135361194610596,0.08340716361999512,0
seg-only,"(1.5, 8.0, 0.3, 0.0)",0.23786429315805435,0.04371446371078491,0.06398415565490723,0
seg-only,"(1.5, 8.0, 0.3, 0.0)",0.2664879560470581,0.024777472019195557,0.02713179588317871,0
seg-only,"(1.5, 8.0, 0.3, 0.0)",0.2756490409374237,0.03965038061141968,0.06419706344604492,0
seg-only,"(1.5, 8.0, 0.3, 0.0)",0.2699415683746338,0.053134143352508545,0.07400965690612793,0
seg-only,"(1.5, 8.0, 0.3, 0.0)",0.2668531835079193,0.05196791887283325,0.06166231632232666,0
seg-only,"(1.5, 8.0, 0.3, 0.0)",0.22755933552980423,0.036581456661224365,0.04988539218902588,0
seg-only,"(1.5, 8.0, 0.3, 0.0)",0.24049943685531616,0.022532403469085693,0.028890252113342285,0
seg-only,"(1.5, 8.0, 0.3, 0.0)",0.23401334136724472,0.055177271366119385,0.08761465549468994,0
seg-only,"(1.5, 8.0, 0.3, 0.0)",0.2681521028280258,0.03689318895339966,0.057056427001953125,0
seg-only,"(1.5, 8.0, 0.3, 0.3)",0.24710281938314438,0.048551321029663086,0.05098545551300049,0
seg-only,"(1.5, 8.0, 0.3, 0.3)",0.23286473006010056,0.037359774112701416,0.00865936279296875,0
seg-only,"(1.5, 8.0, 0.3, 0.3)",0.24008262902498245,0.039134681224823,0.05006122589111328,0
seg-only,"(1.5, 8.0, 0.3, 0.3)",0.24781833589076996,0.02890557050704956,0.00622868537902832,0
seg-only,"(1.5, 8.0, 0.3, 0.3)",0.24617359042167664,0.045419394969940186,0.01898014545440674,0
seg-only,"(1.5, 8.0, 0.3, 0.3)",0.24472211301326752,0.05698573589324951,0.04416537284851074,0
seg-only,"(1.5, 8.0, 0.3, 0.3)",0.24625588208436966,0.03941828012466431,0.042760252952575684,0
seg-only,"(1.5, 8.0, 0.3, 0.3)",0.23725126683712006,0.040553390979766846,0.048610806465148926,0
seg-only,"(1.5, 8.0, 0.3, 0.3)",0.24038221687078476,0.035922884941101074,0.043584227561950684,0
seg-only,"(1.5, 8.0, 0.3, 0.3)",0.24291468411684036,0.02459549903869629,0.0036963224411010742,0
seg-only,"(1.5, 8.0, 0.3, 0.3)",0.23329132050275803,0.04676908254623413,0.057793498039245605,0
seg-only,"(1.5, 8.0, 0.3, 0.3)",0.2434104084968567,0.04899471998214722,0.05645930767059326,0
seg-only,"(1.5, 8.0, 0.3, 0.3)",0.25323376804590225,0.05212348699569702,0.03721821308135986,0
seg-only,"(1.5, 8.0, 0.3, 0.3)",0.2358843758702278,0.0471767783164978,0.07058203220367432,0
seg-only,"(1.5, 8.0, 0.3, 0.3)",0.23119555413722992,0.04431253671646118,0.03245210647583008,0
seg-only,"(1.5, 8.0, 0.3, 0.6)",0.24396242946386337,0.0467490553855896,0.01782357692718506,0
seg-only,"(1.5, 8.0, 0.3, 0.6)",0.2594209164381027,0.05769246816635132,0.019682765007019043,0
seg-only,"(1.5, 8.0, 0.3, 0.6)",0.27168983221054077,0.04590880870819092,0.0464019775390625,0
seg-only,"(1.5, 8.0, 0.3, 0.6)",0.24852409958839417,0.039866507053375244,0.017397522926330566,0
seg-only,"(1.5, 8.0, 0.3, 0.6)",0.24684063345193863,0.055933475494384766,0.037375569343566895,0
seg-only,"(1.5, 8.0, 0.3, 0.6)",0.2556764930486679,0.054626405239105225,0.017656445503234863,0
seg-only,"(1.5, 8.0, 0.3, 0.6)",0.25902169942855835,0.04543948173522949,0.003343939781188965,0
seg-only,"(1.5, 8.0, 0.3, 0.6)",0.2566061019897461,0.05784797668457031,0.018522977828979492,0
seg-only,"(1.5, 8.0, 0.3, 0.6)",0.24222976714372635,0.042317867279052734,0.013198018074035645,0
seg-only,"(1.5, 8.0, 0.3, 0.6)",0.2448282539844513,0.05072265863418579,0.03978383541107178,0
seg-only,"(1.5, 8.0, 0.3, 0.6)",0.26845701038837433,0.035096049308776855,0.02266085147857666,0
seg-only,"(1.5, 8.0, 0.3, 0.6)",0.2603830546140671,0.03456813097000122,0.016852736473083496,0
seg-only,"(1.5, 8.0, 0.3, 0.6)",0.2335953190922737,0.04260021448135376,0.03225350379943848,0
seg-only,"(1.5, 8.0, 0.3, 0.6)",0.2608230710029602,0.01647096872329712,0.01704084873199463,0
seg-only,"(1.5, 8.0, 0.3, 0.6)",0.2424919754266739,0.04814577102661133,2.1457672119140625e-06,0
seg-only,"(1.5, 8.0, 0.3, -0.3)",0.24134321510791779,0.05488044023513794,0.08350753784179688,0
seg-only,"(1.5, 8.0, 0.3, -0.3)",0.2712348401546478,0.034499406814575195,0.063079833984375,0
seg-only,"(1.5, 8.0, 0.3, -0.3)",0.24034392833709717,0.036264777183532715,0.07068061828613281,0
seg-only,"(1.5, 8.0, 0.3, -0.3)",0.2423524186015129,0.04006069898605347,0.062041521072387695,0
seg-only,"(1.5, 8.0, 0.3, -0.3)",0.240559920668602,0.03936779499053955,0.06075024604797363,0
seg-only,"(1.5, 8.0, 0.3, -0.3)",0.2623620927333832,0.042811036109924316,0.06999731063842773,0
seg-only,"(1.5, 8.0, 0.3, -0.3)",0.24664690345525742,0.0350911021232605,0.05992722511291504,0
seg-only,"(1.5, 8.0, 0.3, -0.3)",0.26441843807697296,0.028142154216766357,0.05667304992675781,0
seg-only,"(1.5, 8.0, 0.3, -0.3)",0.2408599704504013,0.0652390718460083,0.10954093933105469,0
seg-only,"(1.5, 8.0, 0.3, -0.3)",0.2575386017560959,0.016307950019836426,0.045494794845581055,0
seg-only,"(1.5, 8.0, 0.3, -0.3)",0.24442513287067413,0.03455621004104614,0.08691740036010742,0
seg-only,"(1.5, 8.0, 0.3, -0.3)",0.2391490563750267,0.049067676067352295,0.07873749732971191,0
seg-only,"(1.5, 8.0, 0.3, -0.3)",0.24874789267778397,0.03640717267990112,0.0714561939239502,0
seg-only,"(1.5, 8.0, 0.3, -0.3)",0.23588762432336807,0.05377882719039917,0.10668730735778809,0
seg-only,"(1.5, 8.0, 0.3, -0.3)",0.27054621279239655,0.031307101249694824,0.05357861518859863,0
seg-only,"(1.5, 8.0, 0.7, 0.0)",0.21878467500209808,0.04238998889923096,0.06370925903320312,0
seg-only,"(1.5, 8.0, 0.7, 0.0)",0.20577292889356613,0.014604449272155762,0.024016618728637695,0
seg-only,"(1.5, 8.0, 0.7, 0.0)",0.22166446596384048,0.02281242609024048,0.045217156410217285,0
seg-only,"(1.5, 8.0, 0.7, 0.0)",0.2015388086438179,0.02726578712463379,0.03452610969543457,0
seg-only,"(1.5, 8.0, 0.7, 0.0)",0.22443527728319168,0.008112132549285889,0.011874675750732422,0
seg-only,"(1.5, 8.0, 0.7, 0.0)",0.2062416672706604,0.019728541374206543,0.034226179122924805,0
seg-only,"(1.5, 8.0, 0.7, 0.0)",0.1917344555258751,0.015029370784759521,0.0094376802444458,0
seg-only,"(1.5, 8.0, 0.7, 0.0)",0.19335146248340607,0.013556420803070068,0.02597522735595703,0
seg-only,"(1.5, 8.0, 0.7, 0.0)",0.1983661875128746,0.004853367805480957,0.009641051292419434,0
seg-only,"(1.5, 8.0, 0.7, 0.0)",0.20979449898004532,0.03832036256790161,0.0479731559753418,0
seg-only,"(1.5, 8.0, 0.7, 0.0)",0.2046399861574173,0.01550590991973877,0.013563394546508789,0
seg-only,"(1.5, 8.0, 0.7, 0.0)",0.18784311413764954,0.017145633697509766,0.010403156280517578,0
seg-only,"(1.5, 8.0, 0.7, 0.0)",0.21195761859416962,0.013638198375701904,0.021245837211608887,0
seg-only,"(1.5, 8.0, 0.7, 0.0)",0.19920212030410767,0.014426589012145996,0.023425579071044922,0
seg-only,"(1.5, 8.0, 0.7, 0.0)",0.20032662898302078,0.03004544973373413,0.06005215644836426,0
seg-only,"(1.5, 8.0, 0.7, 0.3)",0.19713343679904938,0.021535634994506836,0.006382346153259277,0
seg-only,"(1.5, 8.0, 0.7, 0.3)",0.20183108747005463,0.014997363090515137,0.016138672828674316,0
seg-only,"(1.5, 8.0, 0.7, 0.3)",0.19467651844024658,0.013281285762786865,0.017168045043945312,0
seg-only,"(1.5, 8.0, 0.7, 0.3)",0.21313633769750595,0.010112941265106201,0.005210280418395996,0
seg-only,"(1.5, 8.0, 0.7, 0.3)",0.20751569420099258,0.011790990829467773,0.023459434509277344,0
seg-only,"(1.5, 8.0, 0.7, 0.3)",0.18770994246006012,0.025631308555603027,0.022308826446533203,0
seg-only,"(1.5, 8.0, 0.7, 0.3)",0.18654076009988785,0.012071311473846436,0.010077476501464844,0
seg-only,"(1.5, 8.0, 0.7, 0.3)",0.19446096569299698,0.021187901496887207,0.014947295188903809,0
seg-only,"(1.5, 8.0, 0.7, 0.3)",0.19429831206798553,0.009028196334838867,0.0010671615600585938,0
seg-only,"(1.5, 8.0, 0.7, 0.3)",0.19673090428113937,0.025033295154571533,0.009046196937561035,0
seg-only,"(1.5, 8.0, 0.7, 0.3)",0.19492323696613312,0.005477249622344971,0.022078990936279297,0
seg-only,"(1.5, 8.0, 0.7, 0.3)",0.20888640731573105,0.00961756706237793,0.02638828754425049,0
seg-only,"(1.5, 8.0, 0.7, 0.3)",0.19139029830694199,0.005162537097930908,0.016619443893432617,0
seg-only,"(1.5, 8.0, 0.7, 0.3)",0.19486525654792786,0.008225083351135254,0.009377002716064453,0
seg-only,"(1.5, 8.0, 0.7, 0.3)",0.20139539241790771,0.014746427536010742,0.0159682035446167,0
seg-only,"(1.5, 8.0, 0.7, 0.6)",0.20691750943660736,0.027116835117340088,0.004327535629272461,0
seg-only,"(1.5, 8.0, 0.7, 0.6)",0.19688668102025986,0.031232774257659912,0.013021469116210938,0
seg-only,"(1.5, 8.0, 0.7, 0.6)",0.2072678655385971,0.008068978786468506,0.021819353103637695,0
seg-only,"(1.5, 8.0, 0.7, 0.6)",0.21881826221942902,0.013062477111816406,0.018866300582885742,0
seg-only,"(1.5, 8.0, 0.7, 0.6)",0.19677076488733292,0.011891961097717285,0.03343772888183594,0
seg-only,"(1.5, 8.0, 0.7, 0.6)",0.20041291415691376,0.018763720989227295,0.0178682804107666,0
seg-only,"(1.5, 8.0, 0.7, 0.6)",0.21225931495428085,0.006395280361175537,0.006166338920593262,0
seg-only,"(1.5, 8.0, 0.7, 0.6)",0.1943657100200653,0.020708560943603516,0.0003775358200073242,0
seg-only,"(1.5, 8.0, 0.7, 0.6)",0.19874677807092667,0.009921610355377197,0.006466507911682129,0
seg-only,"(1.5, 8.0, 0.7, 0.6)",0.19030507653951645,0.012116611003875732,0.01579880714416504,0
seg-only,"(1.5, 8.0, 0.7, 0.6)",0.21200549602508545,0.018002092838287354,0.04059398174285889,0
seg-only,"(1.5, 8.0, 0.7, 0.6)",0.20395151525735855,0.010866284370422363,0.02997267246246338,0
seg-only,"(1.5, 8.0, 0.7, 0.6)",0.21342679858207703,0.029520630836486816,0.03166556358337402,0
seg-only,"(1.5, 8.0, 0.7, 0.6)",0.20511122047901154,0.01803487539291382,0.01006007194519043,0
seg-only,"(1.5, 8.0, 0.7, 0.6)",0.19478872418403625,0.028086841106414795,0.004457354545593262,0
seg-only,"(1.5, 8.0, 0.7, -0.3)",0.19041384011507034,0.0053403377532958984,0.0161898136138916,0
seg-only,"(1.5, 8.0, 0.7, -0.3)",0.19806800037622452,0.00244218111038208,0.004128217697143555,0
seg-only,"(1.5, 8.0, 0.7, -0.3)",0.20763015002012253,0.026947319507598877,0.06115078926086426,0
seg-only,"(1.5, 8.0, 0.7, -0.3)",0.1948031783103943,0.01999044418334961,0.0362696647644043,0
seg-only,"(1.5, 8.0, 0.7, -0.3)",0.2102791965007782,0.011802732944488525,0.0019423961639404297,0
seg-only,"(1.5, 8.0, 0.7, -0.3)",0.1911924108862877,0.016400694847106934,0.03804779052734375,0
seg-only,"(1.5, 8.0, 0.7, -0.3)",0.21759315580129623,0.013740956783294678,0.0165863037109375,0
seg-only,"(1.5, 8.0, 0.7, -0.3)",0.1914936974644661,0.013893604278564453,0.02543473243713379,0
seg-only,"(1.5, 8.0, 0.7, -0.3)",0.19410176575183868,0.016750633716583252,0.04282522201538086,0
seg-only,"(1.5, 8.0, 0.7, -0.3)",0.19054759293794632,0.0036522746086120605,0.017475128173828125,0
seg-only,"(1.5, 8.0, 0.7, -0.3)",0.20812855660915375,0.03179663419723511,0.030849933624267578,0
seg-only,"(1.5, 8.0, 0.7, -0.3)",0.1977701187133789,0.025744616985321045,0.048830628395080566,0
seg-only,"(1.5, 8.0, 0.7, -0.3)",0.19346904754638672,0.006973326206207275,0.015316963195800781,0
seg-only,"(1.5, 8.0, 0.7, -0.3)",0.19278215616941452,0.023759186267852783,0.06524085998535156,0
seg-only,"(1.5, 8.0, 0.7, -0.3)",0.19505809247493744,0.012677788734436035,0.038236379623413086,0
seg-only,"(1.5, 20.0, 0.3, 0.0)",0.22460304200649261,0.032395005226135254,0.03520560264587402,0
seg-only,"(1.5, 20.0, 0.3, 0.0)",0.22245725244283676,0.04476410150527954,0.05830967426300049,0
seg-only,"(1.5, 20.0, 0.3, 0.0)",0.24022536724805832,0.017880260944366455,0.03600573539733887,0
seg-only,"(1.5, 20.0, 0.3, 0.0)",0.21897421777248383,0.02028411626815796,0.032891035079956055,0
seg-only,"(1.5, 20.0, 0.3, 0.0)",0.24476463347673416,0.018231987953186035,0.024583101272583008,0
seg-only,"(1.5, 20.0, 0.3, 0.0)",0.24725399166345596,0.029604196548461914,0.017751693725585938,0
seg-only,"(1.5, 20.0, 0.3, 0.0)",0.2173968106508255,0.044621825218200684,0.05504798889160156,0
seg-only,"(1.5, 20.0, 0.3, 0.0)",0.2509586066007614,0.03685706853866577,0.06561076641082764,0
seg-only,"(1.5, 20.0, 0.3, 0.0)",0.21941373497247696,0.02388942241668701,0.035245656967163086,0
seg-only,"(1.5, 20.0, 0.3, 0.0)",0.22722285985946655,0.03259211778640747,0.057306766510009766,0
seg-only,"(1.5, 20.0, 0.3, 0.0)",0.24167868494987488,0.029364049434661865,0.0370790958404541,0
seg-only,"(1.5, 20.0, 0.3, 0.0)",0.2253962680697441,0.019910156726837158,0.03058779239654541,0
seg-only,"(1.5, 20.0, 0.3, 0.0)",0.2263312265276909,0.020901024341583252,0.0360112190246582,0
seg-only,"(1.5, 20.0, 0.3, 0.0)",0.22060925513505936,0.026265501976013184,0.0525970458984375,0
seg-only,"(1.5, 20.0, 0.3, 0.0)",0.22195224463939667,0.03304499387741089,0.053305864334106445,0
seg-only,"(1.5, 20.0, 0.3, 0.3)",0.2294009104371071,0.02256399393081665,0.019286751747131348,0
seg-only,"(1.5, 20.0, 0.3, 0.3)",0.22647491097450256,0.0404125452041626,0.0525975227355957,0
seg-only,"(1.5, 20.0, 0.3, 0.3)",0.2160830944776535,0.025813043117523193,0.036873817443847656,0
seg-only,"(1.5, 20.0, 0.3, 0.3)",0.22278990596532822,0.039375245571136475,0.05137920379638672,0
seg-only,"(1.5, 20.0, 0.3, 0.3)",0.24584058672189713,0.015279114246368408,0.003167867660522461,0
seg-only,"(1.5, 20.0, 0.3, 0.3)",0.21286767721176147,0.023880600929260254,0.03535151481628418,0
seg-only,"(1.5, 20.0, 0.3, 0.3)",0.23458772152662277,0.03889179229736328,0.04607963562011719,0
seg-only,"(1.5, 20.0, 0.3, 0.3)",0.2519649341702461,0.04462558031082153,0.052602529525756836,0
seg-only,"(1.5, 20.0, 0.3, 0.3)",0.24222490936517715,0.02490895986557007,0.00692594051361084,0
seg-only,"(1.5, 20.0, 0.3, 0.3)",0.23538067936897278,0.028149724006652832,0.037810444831848145,0
seg-only,"(1.5, 20.0, 0.3, 0.3)",0.2580637037754059,0.01319652795791626,0.05601227283477783,0
seg-only,"(1.5, 20.0, 0.3, 0.3)",0.24816301465034485,0.031935155391693115,0.02235591411590576,0
seg-only,"(1.5, 20.0, 0.3, 0.3)",0.21254338324069977,0.024703562259674072,0.020984888076782227,0
seg-only,"(1.5, 20.0, 0.3, 0.3)",0.21811004728078842,0.01667553186416626,0.027129650115966797,0
seg-only,"(1.5, 20.0, 0.3, 0.3)",0.24521522969007492,0.03150373697280884,0.04980039596557617,0
seg-only,"(1.5, 20.0, 0.3, 0.6)",0.24752353131771088,0.006234467029571533,0.029245734214782715,0
seg-only,"(1.5, 20.0, 0.3, 0.6)",0.21924005448818207,0.03813999891281128,0.0011489391326904297,0
seg-only,"(1.5, 20.0, 0.3, 0.6)",0.22832834720611572,0.029074549674987793,0.0003197193145751953,0
seg-only,"(1.5, 20.0, 0.3, 0.6)",0.23211271315813065,0.02842468023300171,0.015053391456604004,0
seg-only,"(1.5, 20.0, 0.3, 0.6)",0.2342512384057045,0.031194865703582764,0.008399128913879395,0
seg-only,"(1.5, 20.0, 0.3, 0.6)",0.21892961114645004,0.03453284502029419,0.013636469841003418,0
seg-only,"(1.5, 20.0, 0.3, 0.6)",0.2553916573524475,0.033039629459381104,0.003689885139465332,0
seg-only,"(1.5, 20.0, 0.3, 0.6)",0.2188962996006012,0.03215515613555908,0.0185011625289917,0
seg-only,"(1.5, 20.0, 0.3, 0.6)",0.21632268279790878,0.031463682651519775,0.02426278591156006,0
seg-only,"(1.5, 20.0, 0.3, 0.6)",0.23731359839439392,0.022701382637023926,0.020069479942321777,0
seg-only,"(1.5, 20.0, 0.3, 0.6)",0.22297335416078568,0.022680222988128662,0.022147059440612793,0
seg-only,"(1.5, 20.0, 0.3, 0.6)",0.23805809766054153,0.03682941198348999,0.030123591423034668,0
seg-only,"(1.5, 20.0, 0.3, 0.6)",0.2548649236559868,0.030202805995941162,0.008757352828979492,0
seg-only,"(1.5, 20.0, 0.3, 0.6)",0.21998310834169388,0.0361749529838562,0.010602116584777832,0
