variant,seed,train_seconds,n_params
seg-only,0,76.83224248886108,65786
seg-only,1,74.24704027175903,65786
seg-only,2,76.55214381217957,65786
seg+pos,0,78.31185269355774,65786
seg+pos,1,78.75237154960632,65786
seg+pos,2,77.84323191642761,65786
seg+pos+rms,0,86.43711709976196,65786
seg+pos+rms,1,86.54518675804138,65786
seg+pos+rms,2,85.96505546569824,65786
seg+pos+rms+psd,0,113.77669906616211,65786
seg+pos+rms+psd,1,120.83897423744202,65786
seg+pos+rms+psd,2,120.1773271560669,65786
full,0,145.19825863838196,65786
full,1,143.54771208763123,65786
full,2,141.16972494125366,65786
