method,config,edge_mae,ler_mae,lwr_mae,seed
seg-only,"(1.5, 8.0, 0.3, 0.0)",0.8492866158485413,0.42703455686569214,0.5661479234695435,0
seg-only,"(1.5, 8.0, 0.3, 0.0)",0.8009855449199677,0.3618980050086975,0.4599900245666504,0
seg-only,"(1.5, 8.0, 0.3, 0.0)",0.8554815351963043,0.39326566457748413,0.6505160331726074,0
seg-only,"(1.5, 8.0, 0.3, 0.0)",0.8367878794670105,0.4154658913612366,0.5510621070861816,0
seg-only,"(1.5, 8.0, 0.3, 0.0)",0.8317544162273407,0.4219382405281067,0.541438102722168,0
seg-only,"(1.5, 8.0, 0.3, 0.0)",0.8529552221298218,0.5029305219650269,0.6635959148406982,0
seg-only,"(1.5, 8.0, 0.3, 0.0)",0.8213045001029968,0.431953489780426,0.6045088768005371,0
seg-only,"(1.5, 8.0, 0.3, 0.0)",0.8234290182590485,0.3844527006149292,0.5804656744003296,0
seg-only,"(1.5, 8.0, 0.3, 0.0)",0.837716668844223,0.39882034063339233,0.5692389011383057,0
seg-only,"(1.5, 8.0, 0.3, 0.0)",0.8552030324935913,0.4117771089076996,0.5411880016326904,0
seg-only,"(1.5, 8.0, 0.3, 0.0)",0.8150932490825653,0.36670559644699097,0.6358847618103027,0
seg-only,"(1.5, 8.0, 0.3, 0.0)",0.833294004201889,0.414950966835022,0.6818922758102417,0
seg-only,"(1.5, 8.0, 0.3, 0.0)",0.8025891780853271,0.38586097955703735,0.5280439853668213,0
seg-only,"(1.5, 8.0, 0.3, 0.0)",0.8227760791778564,0.46357154846191406,0.6454432010650635,0
seg-only,"(1.5, 8.0, 0.3, 0.0)",0.8282921314239502,0.382807195186615,0.5248767137527466,0
seg-only,"(1.5, 8.0, 0.3, 0.3)",0.8221758604049683,0.42184150218963623,0.46161341667175293,0
seg-only,"(1.5, 8.0, 0.3, 0.3)",0.7961933016777039,0.40532559156417847,0.31811976432800293,0
seg-only,"(1.5, 8.0, 0.3, 0.3)",0.8143526911735535,0.2870553731918335,0.36779844760894775,0
seg-only,"(1.5, 8.0, 0.3, 0.3)",0.7747108638286591,0.32389116287231445,0.36461567878723145,0
seg-only,"(1.5, 8.0, 0.3, 0.3)",0.8128900229930878,0.3548663854598999,0.4553649425506592,0
seg-only,"(1.5, 8.0, 0.3, 0.3)",0.8206784427165985,0.4433242380619049,0.5749551057815552,0
seg-only,"(1.5, 8.0, 0.3, 0.3)",0.837720662355423,0.4034692049026489,0.4361656904220581,0
seg-only,"(1.5, 8.0, 0.3, 0.3)",0.7945239841938019,0.3674834966659546,0.5134916305541992,0
seg-only,"(1.5, 8.0, 0.3, 0.3)",0.8598153591156006,0.48825448751449585,0.46706509590148926,0
seg-only,"(1.5, 8.0, 0.3, 0.3)",0.8295542299747467,0.4132605791091919,0.5235202312469482,0
seg-only,"(1.5, 8.0, 0.3, 0.3)",0.8515079021453857,0.47105199098587036,0.5221452713012695,0
seg-only,"(1.5, 8.0, 0.3, 0.3)",0.808654397726059,0.39092546701431274,0.3788769245147705,0
seg-only,"(1.5, 8.0, 0.3, 0.3)",0.8186847865581512,0.3683236837387085,0.31308889389038086,0
seg-only,"(1.5, 8.0, 0.3, 0.3)",0.8105994462966919,0.45641201734542847,0.6346862316131592,0
seg-only,"(1.5, 8.0, 0.3, 0.3)",0.8367301523685455,0.4684571325778961,0.4862116575241089,0
seg-only,"(1.5, 8.0, 0.3, 0.6)",0.8110869228839874,0.4402162432670593,0.3244209289550781,0
seg-only,"(1.5, 8.0, 0.3, 0.6)",0.8064569234848022,0.44533514976501465,0.35847580432891846,0
seg-only,"(1.5, 8.0, 0.3, 0.6)",0.8437533378601074,0.415502667427063,0.3770785331726074,0
seg-only,"(1.5, 8.0, 0.3, 0.6)",0.8114452362060547,0.3654082417488098,0.09249317646026611,0
seg-only,"(1.5, 8.0, 0.3, 0.6)",0.8640377521514893,0.3834497332572937,0.19815051555633545,0
seg-only,"(1.5, 8.0, 0.3, 0.6)",0.8411334156990051,0.46068039536476135,0.34829163551330566,0
seg-only,"(1.5, 8.0, 0.3, 0.6)",0.8388044238090515,0.44245970249176025,0.3142373561859131,0
seg-only,"(1.5, 8.0, 0.3, 0.6)",0.831939309835434,0.3888011574745178,0.4120721220970154,0
seg-only,"(1.5, 8.0, 0.3, 0.6)",0.8710125684738159,0.47306203842163086,0.17348313331604004,0
seg-only,"(1.5, 8.0, 0.3, 0.6)",0.8524461984634399,0.38047367334365845,0.2704775333404541,0
seg-only,"(1.5, 8.0, 0.3, 0.6)",0.8391204178333282,0.4587723910808563,0.2790205478668213,0
seg-only,"(1.5, 8.0, 0.3, 0.6)",0.8278832137584686,0.4355543255805969,0.3288154602050781,0
seg-only,"(1.5, 8.0, 0.3, 0.6)",0.7959267497062683,0.3458178639411926,0.21149098873138428,0
seg-only,"(1.5, 8.0, 0.3, 0.6)",0.8365132808685303,0.4035634398460388,0.2508763074874878,0
seg-only,"(1.5, 8.0, 0.3, 0.6)",0.7993043065071106,0.4539473056793213,0.3683100938796997,0
seg-only,"(1.5, 8.0, 0.3, -0.3)",0.867676317691803,0.43137601017951965,0.6990611553192139,0
seg-only,"(1.5, 8.0, 0.3, -0.3)",0.8429079353809357,0.387927770614624,0.6632411479949951,0
seg-only,"(1.5, 8.0, 0.3, -0.3)",0.7906565368175507,0.4037827253341675,0.7301574945449829,0
seg-only,"(1.5, 8.0, 0.3, -0.3)",0.870293527841568,0.4528752565383911,0.7102029323577881,0
seg-only,"(1.5, 8.0, 0.3, -0.3)",0.8574950397014618,0.4278985261917114,0.7052947282791138,0
seg-only,"(1.5, 8.0, 0.3, -0.3)",0.8608477711677551,0.3489105701446533,0.6548974514007568,0
seg-only,"(1.5, 8.0, 0.3, -0.3)",0.806077629327774,0.4237748384475708,0.732586145401001,0
seg-only,"(1.5, 8.0, 0.3, -0.3)",0.8162976801395416,0.40520089864730835,0.6544836759567261,0
seg-only,"(1.5, 8.0, 0.3, -0.3)",0.9036559760570526,0.4959602952003479,0.9092403650283813,0
seg-only,"(1.5, 8.0, 0.3, -0.3)",0.8175431489944458,0.3896469473838806,0.6271835565567017,0
seg-only,"(1.5, 8.0, 0.3, -0.3)",0.8621523976325989,0.4655609130859375,0.7634491920471191,0
seg-only,"(1.5, 8.0, 0.3, -0.3)",0.8370009660720825,0.4137583374977112,0.7127569913864136,0
seg-only,"(1.5, 8.0, 0.3, -0.3)",0.8289067447185516,0.43448400497436523,0.7660996913909912,0
seg-only,"(1.5, 8.0, 0.3, -0.3)",0.8503877520561218,0.44197896122932434,0.8256425857543945,0
seg-only,"(1.5, 8.0, 0.3, -0.3)",0.8485448360443115,0.3790191411972046,0.5507851839065552,0
seg-only,"(1.5, 8.0, 0.7, 0.0)",0.6137069463729858,0.2429884672164917,0.35867202281951904,0
seg-only,"(1.5, 8.0, 0.7, 0.0)",0.5927390158176422,0.1996663212776184,0.3139228820800781,0
seg-only,"(1.5, 8.0, 0.7, 0.0)",0.6312317252159119,0.2331545352935791,0.389363169670105,0
seg-only,"(1.5, 8.0, 0.7, 0.0)",0.6570689380168915,0.2584518790245056,0.38639402389526367,0
seg-only,"(1.5, 8.0, 0.7, 0.0)",0.5943020582199097,0.2453632950782776,0.3326472043991089,0
seg-only,"(1.5, 8.0, 0.7, 0.0)",0.6311357021331787,0.19974511861801147,0.37621521949768066,0
seg-only,"(1.5, 8.0, 0.7, 0.0)",0.6264404952526093,0.2619568109512329,0.39983510971069336,0
seg-only,"(1.5, 8.0, 0.7, 0.0)",0.6064523756504059,0.15831124782562256,0.19841384887695312,0
seg-only,"(1.5, 8.0, 0.7, 0.0)",0.6041974425315857,0.18128937482833862,0.33928096294403076,0
seg-only,"(1.5, 8.0, 0.7, 0.0)",0.6133567094802856,0.17613142728805542,0.16395235061645508,0
seg-only,"(1.5, 8.0, 0.7, 0.0)",0.6191743612289429,0.19488877058029175,0.19569110870361328,0
seg-only,"(1.5, 8.0, 0.7, 0.0)",0.6272310316562653,0.19029802083969116,0.29000091552734375,0
seg-only,"(1.5, 8.0, 0.7, 0.0)",0.6209756135940552,0.22018498182296753,0.24780607223510742,0
seg-only,"(1.5, 8.0, 0.7, 0.0)",0.585002064704895,0.2598440647125244,0.3169502019882202,0
seg-only,"(1.5, 8.0, 0.7, 0.0)",0.6339478194713593,0.17757785320281982,0.28840017318725586,0
seg-only,"(1.5, 8.0, 0.7, 0.3)",0.6204193234443665,0.2997831702232361,0.329420804977417,0
seg-only,"(1.5, 8.0, 0.7, 0.3)",0.5870814323425293,0.15296697616577148,0.1486722230911255,0
seg-only,"(1.5, 8.0, 0.7, 0.3)",0.5850841701030731,0.12820523977279663,0.20463812351226807,0
seg-only,"(1.5, 8.0, 0.7, 0.3)",0.6213757991790771,0.19785648584365845,0.14003455638885498,0
seg-only,"(1.5, 8.0, 0.7, 0.3)",0.6391172111034393,0.2070590853691101,0.3458096981048584,0
seg-only,"(1.5, 8.0, 0.7, 0.3)",0.6732063889503479,0.25595247745513916,0.24128198623657227,0
seg-only,"(1.5, 8.0, 0.7, 0.3)",0.597994476556778,0.1728886365890503,0.2114020586013794,0
seg-only,"(1.5, 8.0, 0.7, 0.3)",0.61253622174263,0.20033085346221924,0.19803285598754883,0
seg-only,"(1.5, 8.0, 0.7, 0.3)",0.6382383704185486,0.18381255865097046,0.23849356174468994,0
seg-only,"(1.5, 8.0, 0.7, 0.3)",0.6452495455741882,0.22916477918624878,0.30785322189331055,0
seg-only,"(1.5, 8.0, 0.7, 0.3)",0.5988278687000275,0.18121850490570068,0.1549849510192871,0
seg-only,"(1.5, 8.0, 0.7, 0.3)",0.6118281483650208,0.19660186767578125,0.24652421474456787,0
seg-only,"(1.5, 8.0, 0.7, 0.3)",0.5857095122337341,0.1684943437576294,0.19813895225524902,0
seg-only,"(1.5, 8.0, 0.7, 0.3)",0.6521153450012207,0.1738218069076538,0.1840144395828247,0
seg-only,"(1.5, 8.0, 0.7, 0.3)",0.5870813429355621,0.1960594654083252,0.23330283164978027,0
seg-only,"(1.5, 8.0, 0.7, 0.6)",0.6038914322853088,0.18747484683990479,0.023937702178955078,0
seg-only,"(1.5, 8.0, 0.7, 0.6)",0.6275989711284637,0.227938711643219,0.15500080585479736,0
seg-only,"(1.5, 8.0, 0.7, 0.6)",0.5779491364955902,0.17614680528640747,0.16148245334625244,0
seg-only,"(1.5, 8.0, 0.7, 0.6)",0.6395751237869263,0.23764997720718384,0.13264286518096924,0
seg-only,"(1.5, 8.0, 0.7, 0.6)",0.6580855846405029,0.25429767370224,0.10645091533660889,0
seg-only,"(1.5, 8.0, 0.7, 0.6)",0.6583360433578491,0.21300750970840454,0.08724021911621094,0
seg-only,"(1.5, 8.0, 0.7, 0.6)",0.6140504479408264,0.1726468801498413,0.22531044483184814,0
seg-only,"(1.5, 8.0, 0.7, 0.6)",0.6711513698101044,0.299643337726593,0.2178736925125122,0
seg-only,"(1.5, 8.0, 0.7, 0.6)",0.6352390050888062,0.21125483512878418,0.1113206148147583,0
seg-only,"(1.5, 8.0, 0.7, 0.6)",0.6443431079387665,0.19151264429092407,0.06469607353210449,0
seg-only,"(1.5, 8.0, 0.7, 0.6)",0.6020948588848114,0.24491506814956665,0.15022313594818115,0
seg-only,"(1.5, 8.0, 0.7, 0.6)",0.6256553828716278,0.14743560552597046,0.09728360176086426,0
seg-only,"(1.5, 8.0, 0.7, 0.6)",0.6396239697933197,0.22989052534103394,0.18266057968139648,0
seg-only,"(1.5, 8.0, 0.7, 0.6)",0.6687026023864746,0.25321799516677856,0.0647284984588623,0
seg-only,"(1.5, 8.0, 0.7, 0.6)",0.6239367723464966,0.23712044954299927,0.20040690898895264,0
seg-only,"(1.5, 8.0, 0.7, -0.3)",0.6294123232364655,0.18402355909347534,0.4609057903289795,0
seg-only,"(1.5, 8.0, 0.7, -0.3)",0.6222871243953705,0.15320199728012085,0.17476320266723633,0
