method,k_n,precision_sigma_W,lwr_mae,ler_mae,edge_mae
seg-only,0.3,0.002175676271538881,0.026936363816882174,0.02210900408681482,0.2230830957996659
seg-only,1.0,0.0039870161402480635,0.02686478104442358,0.02204203448491171,0.22883519681636244
seg-only,2.0,0.005869861933964178,0.027028136576215427,0.021642383052191388,0.23890111414948478
seg-only,4.0,0.00859807113010902,0.026310047852651525,0.020401475407804053,0.2585587318947849
seg+pos,0.3,0.002125306137259031,0.032003699569031596,0.026302267389837652,0.22345722647150978
seg+pos,1.0,0.003986473597857791,0.031775338536438845,0.02648333361139521,0.22889599786140025
seg+pos,2.0,0.005873276691393888,0.03206485828074316,0.02628277688442419,0.23841257816335806
seg+pos,4.0,0.008619968516237956,0.03126940874305243,0.025322316874129076,0.2566536140511744
seg+pos+rms,0.3,0.0023936814166821327,0.018417806985477608,0.013160243494591365,0.23112640153461447
seg+pos+rms,1.0,0.004426137578775524,0.01982139648559193,0.013319189311005175,0.23847842686033496
seg+pos+rms,2.0,0.0065660249832338495,0.020955555140972137,0.01348277551975722,0.25052794796647504
seg+pos+rms,4.0,0.009362931214733786,0.022994056150006752,0.013772325755174583,0.27215243470467004
seg+pos+rms+psd,0.3,0.0024515755738624043,0.019373052559482556,0.013339782793385288,0.23099667724454775
seg+pos+rms+psd,1.0,0.004467705842519838,0.02022363691745947,0.013186738030829778,0.23870819019308934
seg+pos+rms+psd,2.0,0.006476468384789769,0.021536290917235117,0.013459552448087683,0.25143099485042814
seg+pos+rms+psd,4.0,0.009185187340942017,0.023523018617803853,0.013358224833306545,0.2742835497289586
full,0.3,0.0023458675144259664,0.01719015995816638,0.012333118647802621,0.23450492650348073
full,1.0,0.004216646058315139,0.019060606292138498,0.012655934629340967,0.2394836720971701
full,2.0,0.006234978182267999,0.019974249880760908,0.012838981211340675,0.24862545191232735
full,4.0,0.008928048285573217,0.021053201887601364,0.012774446775438264,0.2645605409828325
