method,seed,config,logpsd_L_all,logpsd_L_low,logpsd_L_mid,logpsd_L_high,logpsd_R_all,logpsd_R_low,logpsd_R_mid,logpsd_R_high,logpsd_W_all,logpsd_W_low,logpsd_W_mid,logpsd_W_high,logpsd_mean_all
seg-only,0,"(1.5, 8.0, 0.3, 0.0)",0.10345514118671417,0.026217341423034668,0.07214917987585068,0.17040932178497314,0.15760621428489685,0.02541782520711422,0.11999958753585815,0.2562228739261627,0.16030018031597137,0.022515535354614258,0.13860821723937988,0.24558505415916443,0.14045384526252747
seg-only,0,"(1.5, 8.0, 0.3, 0.0)",0.1397802084684372,0.055683236569166183,0.06285742670297623,0.25551697611808777,0.25642839074134827,0.04827910661697388,0.09351526945829391,0.5154104232788086,0.15649503469467163,0.06507285684347153,0.06119007617235184,0.29399484395980835,0.18423454463481903
seg-only,0,"(1.5, 8.0, 0.3, 0.0)",0.11075873672962189,0.029544075950980186,0.12795554101467133,0.1310456246137619,0.18063625693321228,0.029693961143493652,0.15348340570926666,0.27745485305786133,0.14470769464969635,0.025757193565368652,0.10331688076257706,0.240998774766922,0.1453675627708435
seg-only,0,"(1.5, 8.0, 0.3, 0.0)",0.15503986179828644,0.029092609882354736,0.10747415572404861,0.26073509454727173,0.16197063028812408,0.031440138816833496,0.12117964029312134,0.2630064785480499,0.1603701114654541,0.04295019432902336,0.09120103716850281,0.2837330400943756,0.15912686785062155
seg-only,0,"(1.5, 8.0, 0.3, 0.0)",0.14298254251480103,0.04795938730239868,0.12238158285617828,0.20744039118289948,0.17796751856803894,0.028694093227386475,0.09251032024621964,0.3323201537132263,0.13069400191307068,0.04441181942820549,0.08417610079050064,0.2170344591140747,0.15054802099863687
seg-only,0,"(1.5, 8.0, 0.3, 0.0)",0.12029117345809937,0.04532980918884277,0.09527987986803055,0.17990005016326904,0.11697375029325485,0.037895482033491135,0.10929476469755173,0.16115041077136993,0.12173765897750854,0.05883157253265381,0.07558663189411163,0.19692225754261017,0.11966752757628758
seg-only,0,"(1.5, 8.0, 0.3, 0.0)",0.13664329051971436,0.04384027048945427,0.11495976895093918,0.20115897059440613,0.17726503312587738,0.07493235915899277,0.08123049885034561,0.3205300569534302,0.14747563004493713,0.0462607741355896,0.13343693315982819,0.2082289308309555,0.1537946512301763
seg-only,0,"(1.5, 8.0, 0.3, 0.0)",0.13920244574546814,0.035137616097927094,0.1148894801735878,0.21154533326625824,0.15248988568782806,0.05428085848689079,0.09396228939294815,0.2563447058200836,0.15417709946632385,0.06484075635671616,0.1033860370516777,0.2462003380060196,0.1486231436332067
seg-only,0,"(1.5, 8.0, 0.3, 0.0)",0.13297417759895325,0.019930144771933556,0.1256984919309616,0.19242404401302338,0.11658624559640884,0.022842686623334885,0.09720701724290848,0.17923174798488617,0.1051008328795433,0.025146406143903732,0.07159450650215149,0.17550919950008392,0.11822041869163513
seg-only,0,"(1.5, 8.0, 0.3, 0.0)",0.16945546865463257,0.03559917211532593,0.08469917625188828,0.31599161028862,0.1708393692970276,0.03152801841497421,0.19873975217342377,0.20723655819892883,0.18502157926559448,0.03865683078765869,0.1247519925236702,0.3128441274166107,0.17510547240575156
