method,seed,k_n,config,precision_sigma_L,precision_sigma_R,precision_sigma_W,pos_jitter,bias_sigma_L,bias_sigma_R,bias_sigma_W,ler_mae,lwr_mae,edge_mae
seg-only,0,0.3,"(1.5, 8.0, 0.3, 0.0)",0.000827668933197856,0.0015257978811860085,0.002271983539685607,0.0410163588821888,0.029758810997009277,0.032370805740356445,0.04035639762878418,0.031064778566360474,0.04035647213459015,0.23270592093467712
seg-only,0,0.3,"(1.5, 8.0, 0.3, 0.0)",0.0020451857708394527,0.0014679119922220707,0.0025826692581176758,0.041028935462236404,0.04792213439941406,0.02484261989593506,0.02806377410888672,0.036382369697093964,0.028063863515853882,0.23743131756782532
seg-only,0,0.3,"(1.5, 8.0, 0.3, 0.0)",0.0014701049076393247,0.0011756560998037457,0.001654328778386116,0.04159187525510788,0.02912724018096924,0.054318785667419434,0.0579986572265625,0.04172292351722717,0.05799862742424011,0.23430809378623962
seg-only,0,0.3,"(1.5, 8.0, 0.3, 0.0)",0.0011102096177637577,0.00144004519097507,0.0019362018210813403,0.04029591381549835,0.02797567844390869,0.03479266166687012,0.06670010089874268,0.03138412535190582,0.06670011579990387,0.2363152876496315
seg-only,0,1.0,"(1.5, 8.0, 0.3, 0.0)",0.0033365588169544935,0.0010935708414763212,0.0038425112143158913,0.07532554864883423,0.0613102912902832,0.056545138359069824,0.08397102355957031,0.05892765522003174,0.08397102355957031,0.24579431116580963
seg-only,0,1.0,"(1.5, 8.0, 0.3, 0.0)",0.0037803566083312035,0.0036524564493447542,0.004224572330713272,0.07614027708768845,0.026568889617919922,0.047057390213012695,0.0431973934173584,0.036813125014305115,0.04319731891155243,0.24491499364376068
seg-only,0,1.0,"(1.5, 8.0, 0.3, 0.0)",0.002836615778505802,0.0027572072576731443,0.0038113754708319902,0.07403784990310669,0.031206130981445312,0.03600418567657471,0.05745553970336914,0.03360520303249359,0.05745545029640198,0.2473592907190323
seg-only,0,1.0,"(1.5, 8.0, 0.3, 0.0)",0.0029650703072547913,0.0020329756662249565,0.00301675614900887,0.07789883017539978,0.04501986503601074,0.0325237512588501,0.03403973579406738,0.038771845400333405,0.03403976559638977,0.23448259383440018
seg-only,0,2.0,"(1.5, 8.0, 0.3, 0.0)",0.007378751412034035,0.005061643663793802,0.00877497810870409,0.10969778522849083,0.03487551212310791,0.038886070251464844,0.07957029342651367,0.036880843341350555,0.07957032322883606,0.24727852642536163
seg-only,0,2.0,"(1.5, 8.0, 0.3, 0.0)",0.005438741762191057,0.003209694055840373,0.006864280439913273,0.11099404096603394,0.024755001068115234,0.01130819320678711,0.014562249183654785,0.018031589686870575,0.014562278985977173,0.24393802881240845
seg-only,0,2.0,"(1.5, 8.0, 0.3, 0.0)",0.003158526262268424,0.0025621592067182064,0.0058127050288021564,0.11065543070435524,0.02990126609802246,0.04355573654174805,0.05948829650878906,0.03672850877046585,0.059488505125045776,0.25991062819957733
