method,k_n,precision_sigma_W,lwr_mae,ler_mae,edge_mae
seg-only,2.7215246093245504,0.06030048823352748,0.4167557317802372,0.3315755533791768,0.8870867635511482
seg-only,5.443049218649101,0.06552498201199342,0.39669883718791726,0.32211303370422684,0.8928487895755097
seg-only,10.886098437298202,0.07135820170030154,0.3761920410130794,0.3038570153294131,0.9057139919217055
seg-only,21.772196874596403,0.08360644818943304,0.33305318451796967,0.27058677428673644,0.936835169326514
seg+pos,2.7215246093245504,0.06044188161225369,0.4169334056205116,0.33150952339444,0.8866760081145912
seg+pos,5.443049218649101,0.06559255383520697,0.3975951276370324,0.3228280018859853,0.8925266788185885
seg+pos,10.886098437298202,0.071275695663644,0.37765520537504926,0.3048109988643167,0.9048805264368033
seg+pos,21.772196874596403,0.08342249321867712,0.33444110240088776,0.2714049304292227,0.9361236812546849
seg+pos+rms,2.7215246093245504,0.06816143896624756,0.263554548282021,0.20719458091965257,0.9040072166826576
seg+pos+rms,5.443049218649101,0.07426714042958338,0.24510179477510974,0.20054884743876755,0.9126313993474469
seg+pos+rms,10.886098437298202,0.08166875212918967,0.235667693001839,0.18750816678705937,0.9299234714514265
seg+pos+rms,21.772196874596403,0.10153974713951659,0.22037737797169635,0.16758303194850063,0.973857483593747
seg+pos+rms+psd,2.7215246093245504,0.11540623274049722,0.22544153038567552,0.18215348592881733,0.9685672185538957
seg+pos+rms+psd,5.443049218649101,0.12744589360954706,0.21749657947414866,0.17127815837739035,0.9860631972551346
seg+pos+rms+psd,10.886098437298202,0.14590628969987543,0.22613895296429595,0.16248996109546474,1.0224654664440702
seg+pos+rms+psd,21.772196874596403,0.18538770927504325,0.31727915214529884,0.19082364694137746,1.105882693702976
full,2.7215246093245504,0.11009400456290071,0.2351628222192327,0.19345282800107574,0.9680688723068064
full,5.443049218649101,0.1236595440277597,0.21980917981515327,0.1778898097400088,0.9838019052598005
full,10.886098437298202,0.14420920299986997,0.22803122453236332,0.16480929198830077,1.0149667358879622
full,21.772196874596403,0.18530278369629136,0.31873893466157216,0.19466211379040033,1.096345551700021
