method,seed,config,logpsd_L_all,logpsd_L_low,logpsd_L_mid,logpsd_L_high,logpsd_R_all,logpsd_R_low,logpsd_R_mid,logpsd_R_high,logpsd_W_all,logpsd_W_low,logpsd_W_mid,logpsd_W_high,logpsd_mean_all
seg-only,0,"(1.5, 8.0, 0.3, 0.0)",5.469747066497803,0.3998440206050873,5.466522216796875,7.812927722930908,5.238779544830322,0.45379433035850525,5.1844072341918945,7.5016069412231445,5.355064392089844,0.40552568435668945,5.404677391052246,7.589854717254639,5.354530334472656
seg-only,0,"(1.5, 8.0, 0.3, 0.0)",5.473010063171387,0.7297855615615845,5.444589138031006,7.690613269805908,5.454236030578613,0.6873459815979004,5.266323566436768,7.842251300811768,5.419795036315918,0.5858975648880005,5.222339630126953,7.848280906677246,5.449013710021973
seg-only,0,"(1.5, 8.0, 0.3, 0.0)",5.540635585784912,0.5657774209976196,5.668795108795166,7.708564281463623,5.378846645355225,0.7861050963401794,5.447022914886475,7.4303975105285645,5.331144332885742,0.7795106768608093,5.276214122772217,7.486828804016113,5.41687552134196
seg-only,0,"(1.5, 8.0, 0.3, 0.0)",5.824551582336426,0.6837495565414429,6.016549110412598,8.005233764648438,5.359426975250244,0.720230758190155,5.000659465789795,7.859362602233887,5.699126243591309,0.7952426671981812,5.4996514320373535,8.161931991577148,5.627701600392659
seg-only,0,"(1.5, 8.0, 0.3, 0.0)",5.513684272766113,0.6791434288024902,5.665892601013184,7.592803001403809,5.0733747482299805,0.3227829337120056,4.909428119659424,7.429903984069824,5.254301071166992,0.5132264494895935,5.307194709777832,7.389595985412598,5.280453364054362
seg-only,0,"(1.5, 8.0, 0.3, 0.0)",5.347336769104004,0.4675487279891968,5.267729759216309,7.679154396057129,5.337822914123535,0.4048694968223572,5.3896942138671875,7.562699794769287,5.393799781799316,0.4242892265319824,5.426042079925537,7.655179977416992,5.359653155008952
seg-only,0,"(1.5, 8.0, 0.3, 0.0)",5.532471656799316,0.594131350517273,5.530818939208984,7.813357830047607,5.367546558380127,0.6897231340408325,5.385828018188477,7.5082597732543945,5.25394868850708,0.4840133786201477,5.018733501434326,7.690672874450684,5.384655634562175
seg-only,0,"(1.5, 8.0, 0.3, 0.0)",5.4703369140625,0.5729174017906189,5.362064361572266,7.8389573097229,5.085691928863525,0.5758622884750366,4.924651145935059,7.328193187713623,5.399829864501953,0.7398028373718262,5.1298065185546875,7.820634365081787,5.318619569142659
seg-only,0,"(1.5, 8.0, 0.3, 0.0)",5.484275817871094,0.7224024534225464,5.679452896118164,7.486886978149414,5.297913551330566,0.5638885498046875,5.1136088371276855,7.6671528816223145,5.1911492347717285,0.4906521439552307,5.225368022918701,7.326391696929932,5.324446201324463
seg-only,0,"(1.5, 8.0, 0.3, 0.0)",5.312089443206787,0.7163450717926025,5.239039897918701,7.506252765655518,5.141849517822266,0.5397394895553589,4.742099761962891,7.665650844573975,5.240199089050293,0.4902134835720062,5.222965240478516,7.449735641479492,5.231379350026448
