method,seed,k_n,config,precision_sigma_L,precision_sigma_R,precision_sigma_W,pos_jitter,bias_sigma_L,bias_sigma_R,bias_sigma_W,ler_mae,lwr_mae,edge_mae
seg-only,0,2.7215246093245504,"(1.5, 8.0, 0.3, 0.0)",0.027517933398485184,0.0500861294567585,0.07078477740287781,0.34753626585006714,0.4021719694137573,0.39561963081359863,0.6745367050170898,0.398895800113678,0.6745367050170898,0.8084077835083008
seg-only,0,2.7215246093245504,"(1.5, 8.0, 0.3, 0.0)",0.05159858986735344,0.041363779455423355,0.07173570990562439,0.3407515436410904,0.44333529472351074,0.37766528129577637,0.5625832080841064,0.41050034761428833,0.5625832080841064,0.8240558505058289
seg-only,0,2.7215246093245504,"(1.5, 8.0, 0.3, 0.0)",0.04826477915048599,0.05986608564853668,0.07479600608348846,0.33437496423721313,0.39701735973358154,0.40692245960235596,0.601757287979126,0.40196993947029114,0.6017573475837708,0.817775547504425
seg-only,0,2.7215246093245504,"(1.5, 8.0, 0.3, 0.0)",0.029488421976566315,0.07847801595926285,0.05357995256781578,0.3440977782011032,0.41666877269744873,0.381211519241333,0.6571129560470581,0.39894020557403564,0.6571128964424133,0.8181520998477936
seg-only,0,5.443049218649101,"(1.5, 8.0, 0.3, 0.0)",0.058601342141628265,0.04571214318275452,0.07560942322015762,0.36275310814380646,0.4363715648651123,0.3960760831832886,0.5991086959838867,0.41622374951839447,0.5991088151931763,0.8122009038925171
seg-only,0,5.443049218649101,"(1.5, 8.0, 0.3, 0.0)",0.05175458639860153,0.051953721791505814,0.08075175434350967,0.37111736834049225,0.4620548486709595,0.3856314420700073,0.7083897590637207,0.4238431453704834,0.7083896398544312,0.8389972150325775
seg-only,0,5.443049218649101,"(1.5, 8.0, 0.3, 0.0)",0.028821181505918503,0.05319809913635254,0.061915323138237,0.3647399842739105,0.40646064281463623,0.38084840774536133,0.5713317394256592,0.3936544954776764,0.571331799030304,0.822493314743042
seg-only,0,5.443049218649101,"(1.5, 8.0, 0.3, 0.0)",0.039687030017375946,0.04214673116803169,0.08257900178432465,0.3608349561691284,0.40427350997924805,0.3860052824020386,0.5116392374038696,0.39513932168483734,0.5116392374038696,0.8224133551120758
seg-only,0,10.886098437298202,"(1.5, 8.0, 0.3, 0.0)",0.047367069870233536,0.0798049345612526,0.06039521098136902,0.4287714958190918,0.35046660900115967,0.33235955238342285,0.4672713279724121,0.3414130210876465,0.46727123856544495,0.8301435112953186
seg-only,0,10.886098437298202,"(1.5, 8.0, 0.3, 0.0)",0.025937149301171303,0.0719764232635498,0.040612444281578064,0.40648743510246277,0.39150989055633545,0.3570127487182617,0.5414023399353027,0.37426134943962097,0.5414023399353027,0.8346559107303619
seg-only,0,10.886098437298202,"(1.5, 8.0, 0.3, 0.0)",0.029432687908411026,0.06342341750860214,0.053427308797836304,0.39827169477939606,0.43001294136047363,0.35027754306793213,0.5031646490097046,0.39014527201652527,0.5031646490097046,0.8339059054851532
seg-only,0,10.886098437298202,"(1.5, 8.0, 0.3, 0.0)",0.041430361568927765,0.05994396656751633,0.041893716901540756,0.39067569375038147,0.4290010929107666,0.3593409061431885,0.4914499521255493,0.3941710293292999,0.49144992232322693,0.8393692076206207
seg-only,0,21.772196874596403,"(1.5, 8.0, 0.3, 0.0)",0.07124220579862595,0.03692830353975296,0.056536972522735596,0.4900805205106735,0.28232789039611816,0.313144326210022,0.41156721115112305,0.29773610830307007,0.41156718134880066,0.8642586171627045
seg-only,0,21.772196874596403,"(1.5, 8.0, 0.3, 0.0)",0.054458655416965485,0.04482781141996384,0.09436967968940735,0.46820443868637085,0.3558157682418823,0.34160518646240234,0.4830193519592285,0.3487105071544647,0.4830193519592285,0.8571078181266785
seg-only,0,21.772196874596403,"(1.5, 8.0, 0.3, 0.0)",0.09593891352415085,0.029517406597733498,0.0910552591085434,0.48122426867485046,0.3291139602661133,0.3288789987564087,0.5362963676452637,0.328996479511261,0.5362962484359741,0.8502039313316345
seg-only,0,21.772196874596403,"(1.5, 8.0, 0.3, 0.0)",0.05482122302055359,0.07402479648590088,0.08337447792291641,0.48986634612083435,0.31204938888549805,0.30703938007354736,0.44214141368865967,0.3095444291830063,0.44214147329330444,0.8503279089927673
