variant,seed,train_seconds,n_params
seg-only,0,77.230633020401,65786
seg-only,1,76.73072862625122,65786
seg-only,2,77.3949944972992,65786
seg+pos,0,80.29365277290344,65786
seg+pos,1,78.45077443122864,65786
seg+pos,2,79.33825659751892,65786
seg+pos+rms,0,86.55667233467102,65786
seg+pos+rms,1,87.75282597541809,65786
seg+pos+rms,2,88.12374019622803,65786
seg+pos+rms+psd,0,121.46722269058228,65786
seg+pos+rms+psd,1,118.2804262638092,65786
seg+pos+rms+psd,2,121.25965738296509,65786
full,0,123.93034148216248,65786
full,1,122.8784122467041,65786
full,2,121.13888239860535,65786
