method,config,edge_mae,ler_mae,lwr_mae,seed
seg-only,"(1.5, 8.0, 0.3, 0.0)",0.23978837579488754,0.041383206844329834,0.04954648017883301,0
seg-only,"(1.5, 8.0, 0.3, 0.0)",0.27278265357017517,0.04252314567565918,0.05512738227844238,0
seg-only,"(1.5, 8.0, 0.3, 0.0)",0.2645801454782486,0.0442197322845459,0.07424402236938477,0
seg-only,"(1.5, 8.0, 0.3, 0.0)",0.2813052088022232,0.036076486110687256,0.04027080535888672,0
seg-only,"(1.5, 8.0, 0.3, 0.0)",0.23297882825136185,0.0541844367980957,0.07364296913146973,0
seg-only,"(1.5, 8.0, 0.3, 0.0)",0.25387632846832275,0.047354280948638916,0.07926285266876221,0
seg-only,"(1.5, 8.0, 0.3, 0.0)",0.23797320574522018,0.03946298360824585,0.05827760696411133,0
seg-only,"(1.5, 8.0, 0.3, 0.0)",0.26583100855350494,0.02142578363418579,0.024920225143432617,0
seg-only,"(1.5, 8.0, 0.3, 0.0)",0.27637849748134613,0.036362409591674805,0.05775308609008789,0
seg-only,"(1.5, 8.0, 0.3, 0.0)",0.27191515266895294,0.04720062017440796,0.0653231143951416,0
seg-only,"(1.5, 8.0, 0.3, 0.0)",0.26838168501853943,0.04570126533508301,0.05332541465759277,0
seg-only,"(1.5, 8.0, 0.3, 0.0)",0.2260570153594017,0.033860087394714355,0.04579508304595947,0
seg-only,"(1.5, 8.0, 0.3, 0.0)",0.24185167253017426,0.018595397472381592,0.02495253086090088,0
seg-only,"(1.5, 8.0, 0.3, 0.0)",0.2335219830274582,0.051493287086486816,0.08081173896789551,0
seg-only,"(1.5, 8.0, 0.3, 0.0)",0.2690189480781555,0.03233402967453003,0.05059981346130371,0
seg-only,"(1.5, 8.0, 0.3, 0.3)",0.24669533222913742,0.04445457458496094,0.047547101974487305,0
seg-only,"(1.5, 8.0, 0.3, 0.3)",0.23184768855571747,0.032165348529815674,6.437301635742188e-05,0
seg-only,"(1.5, 8.0, 0.3, 0.3)",0.24047845602035522,0.03550398349761963,0.04411435127258301,0
seg-only,"(1.5, 8.0, 0.3, 0.3)",0.24732840806245804,0.02536839246749878,0.001417398452758789,0
seg-only,"(1.5, 8.0, 0.3, 0.3)",0.24605107307434082,0.04087728261947632,0.014053940773010254,0
seg-only,"(1.5, 8.0, 0.3, 0.3)",0.24394048005342484,0.05174905061721802,0.038928985595703125,0
seg-only,"(1.5, 8.0, 0.3, 0.3)",0.2449290156364441,0.03466784954071045,0.03948485851287842,0
seg-only,"(1.5, 8.0, 0.3, 0.3)",0.23788326233625412,0.03587108850479126,0.041895270347595215,0
seg-only,"(1.5, 8.0, 0.3, 0.3)",0.23910965025424957,0.031759440898895264,0.03609740734100342,0
seg-only,"(1.5, 8.0, 0.3, 0.3)",0.2422555759549141,0.022422313690185547,0.0019068717956542969,0
seg-only,"(1.5, 8.0, 0.3, 0.3)",0.23383130133152008,0.04143720865249634,0.05135786533355713,0
seg-only,"(1.5, 8.0, 0.3, 0.3)",0.2427007257938385,0.044216275215148926,0.0528947114944458,0
seg-only,"(1.5, 8.0, 0.3, 0.3)",0.25467726588249207,0.047811806201934814,0.03489124774932861,0
seg-only,"(1.5, 8.0, 0.3, 0.3)",0.23745976388454437,0.042797625064849854,0.06424152851104736,0
seg-only,"(1.5, 8.0, 0.3, 0.3)",0.22987050563097,0.03783822059631348,0.025983691215515137,0
seg-only,"(1.5, 8.0, 0.3, 0.6)",0.2427016720175743,0.04211348295211792,0.02075648307800293,0
seg-only,"(1.5, 8.0, 0.3, 0.6)",0.25788141787052155,0.052026331424713135,0.014723658561706543,0
seg-only,"(1.5, 8.0, 0.3, 0.6)",0.2716030180454254,0.04057872295379639,0.041247010231018066,0
seg-only,"(1.5, 8.0, 0.3, 0.6)",0.24886946380138397,0.0347478985786438,0.019583821296691895,0
seg-only,"(1.5, 8.0, 0.3, 0.6)",0.24635790288448334,0.05170029401779175,0.035025835037231445,0
seg-only,"(1.5, 8.0, 0.3, 0.6)",0.2556442320346832,0.0517193078994751,0.012567877769470215,0
seg-only,"(1.5, 8.0, 0.3, 0.6)",0.2603033483028412,0.04136049747467041,0.0012706518173217773,0
