detector,localization,k_n,edge_mae,ler_mae,lwr_mae
threshold,pixel,0.3,0.41546815157186157,0.09463106393618859,0.12413949194224383
threshold,sub-pixel,0.3,0.28887702537069815,0.10392272905812783,0.14184822883584358
canny,pixel,0.3,0.49603991727407426,0.16934072872968897,0.2565067178935201
canny,sub-pixel,0.3,0.28887702537069815,0.10392272905812783,0.14184822883584358
threshold,pixel,0.3,0.39601988040617286,0.06873128775053461,0.07581542390703433
threshold,sub-pixel,0.3,0.27307974825249826,0.0910716395483877,0.1158776464149498
canny,pixel,0.3,0.48364638043552294,0.19161641661602036,0.2863763687503489
canny,sub-pixel,0.3,0.27307974825249826,0.0910716395483877,0.1158776464149498
threshold,pixel,0.3,0.4227826613690372,0.09612667433814803,0.1491970265206013
threshold,sub-pixel,0.3,0.2760864472098473,0.09626449872534226,0.13585214428388914
canny,pixel,0.3,0.4873668168581715,0.17481634128336832,0.24655330746448412
canny,sub-pixel,0.3,0.2760864472098473,0.09626449872534226,0.13585214428388914
threshold,pixel,0.3,0.4335857869056645,0.08981498194312809,0.0990595303646511
threshold,sub-pixel,0.3,0.27832060597780156,0.0845785748208765,0.10463310989312902
canny,pixel,0.3,0.49016600835844176,0.17263832389978928,0.22594656542655267
canny,sub-pixel,0.3,0.2805327928095813,0.08634431277588561,0.10877101820347845
threshold,pixel,0.3,0.4052318027360269,0.09285590467809501,0.10290470028974985
threshold,sub-pixel,0.3,0.27523860625519725,0.07888888351527412,0.10436762882786033
canny,pixel,0.3,0.4843610355583595,0.19053626791146205,0.26701111198951155
canny,sub-pixel,0.3,0.27703145821675457,0.08070500508305845,0.10999558136778287
threshold,pixel,0.3,0.42796738412382174,0.08545709659834899,0.08792233457150744
threshold,sub-pixel,0.3,0.2804128139053822,0.08774779442200498,0.12298634529497265
canny,pixel,0.3,0.5070434101276287,0.2117977885049509,0.27820730355956336
canny,sub-pixel,0.3,0.2804128139053822,0.08774779442200498,0.12298634529497265
threshold,pixel,0.3,0.40786225469213294,0.08722219823490207,0.14115023303871643
threshold,sub-pixel,0.3,0.27445458074997753,0.08240275216969539,0.12101586181291357
canny,pixel,0.3,0.4947946906508134,0.20770131446414497,0.3021697258001097
canny,sub-pixel,0.3,0.2764637184246527,0.08550294481227905,0.12446975862823706
threshold,pixel,0.3,0.43289985504936124,0.10591511189016145,0.1315309858199083
threshold,sub-pixel,0.3,0.28423176428263613,0.08543872981621248,0.12831759891761862
canny,pixel,0.3,0.4979718406275615,0.21128013996985417,0.2762361594662148
canny,sub-pixel,0.3,0.28423176428263613,0.08543872981621248,0.12831759891761862
threshold,pixel,0.3,0.4293998078218846,0.07014413398996122,0.1148724477710763
threshold,sub-pixel,0.3,0.2774637466784816,0.08475087808985626,0.1216143058007948
canny,pixel,0.3,0.5013835380922598,0.18690185707425166,0.24184851153076758
canny,sub-pixel,0.3,0.2792607288623157,0.08650381902451298,0.12185508640009357
threshold,pixel,0.3,0.42664885647945333,0.08929676567727873,0.12782641191565958
threshold,sub-pixel,0.3,0.284266218185125,0.0900416778391665,0.12207864594120599
canny,pixel,0.3,0.5104898723620093,0.20135432221139404,0.2662917098731403
canny,sub-pixel,0.3,0.284266218185125,0.0900416778391665,0.12207864594120599
threshold,pixel,0.3,0.44139798844150974,0.1005356451762418,0.12017785148246363
threshold,sub-pixel,0.3,0.29011941381058526,0.09033021862030977,0.10996539447415588
canny,pixel,0.3,0.5045422204199734,0.1814046385894541,0.23667453291309282
canny,sub-pixel,0.3,0.29011941381058526,0.09033021862030977,0.10996539447415588
threshold,pixel,0.3,0.4320724055289089,0.09773088175263411,0.15057839153690344
threshold,sub-pixel,0.3,0.28287446098438107,0.09558978580893507,0.1308999781070228
canny,pixel,0.3,0.5121329860926076,0.20496142449414245,0.2805816149318192
canny,sub-pixel,0.3,0.28653181541908057,0.0975628482711487,0.13428878265898492
threshold,pixel,0.3,0.400700741871978,0.0748249475905648,0.1489651316513556
threshold,sub-pixel,0.3,0.2679395384750435,0.08731316618221974,0.1400291359061796
canny,pixel,0.3,0.4903602257845986,0.1969276746008226,0.2765899460217054
canny,sub-pixel,0.3,0.2679395384750435,0.08731316618221974,0.1400291359061796
threshold,pixel,0.3,0.42933469892581144,0.07554029275803442,0.14977697148843472
threshold,sub-pixel,0.3,0.28672720688446685,0.10039205881164948,0.1690977130635225
canny,pixel,0.3,0.5030316372419685,0.2009364247733636,0.32300989353752474
canny,sub-pixel,0.3,0.28672720688446685,0.10039205881164948,0.1690977130635225
threshold,pixel,0.3,0.4339617108122812,0.09487020275715374,0.14818309006107655
threshold,sub-pixel,0.3,0.27783414272194423,0.08396899820329862,0.11551162422057537
canny,pixel,0.3,0.4966440948688634,0.1903832030976932,0.2505565567596406
canny,sub-pixel,0.3,0.27783414272194423,0.08396899820329862,0.11551162422057537
threshold,pixel,1.0,0.40605350988944355,0.06711365858446572,0.09495466412134457
threshold,sub-pixel,1.0,0.2692107128177098,0.06865722276659947,0.09815743044496683
canny,pixel,1.0,0.4672340131369592,0.15922312868217903,0.24220242535910064
canny,sub-pixel,1.0,0.2692107128177098,0.06865722276659947,0.09815743044496683
threshold,pixel,1.0,0.42318561818922407,0.050625466478618986,0.042848888706671584
threshold,sub-pixel,1.0,0.273846342125855,0.09282136208672753,0.11908429287952638
canny,pixel,1.0,0.49055006126384637,0.18390007975231337,0.2503561411261628
canny,sub-pixel,1.0,0.273846342125855,0.09282136208672753,0.11908429287952638
threshold,pixel,1.0,0.40015540354007023,0.07217280373163648,0.07773461929838144
threshold,sub-pixel,1.0,0.2806174849567507,0.0843713854797905,0.09973704326157495
canny,pixel,1.0,0.485698554018108,0.18878125477498586,0.2609772040417575
canny,sub-pixel,1.0,0.2806174849567507,0.0843713854797905,0.09973704326157495
threshold,pixel,1.0,0.42798441492469996,0.08529622388345226,0.14911220169817385
threshold,sub-pixel,1.0,0.28311057647825755,0.0869188890538134,0.14880215235895333
canny,pixel,1.0,0.507197317879734,0.1858521789764087,0.2497416295549566
canny,sub-pixel,1.0,0.28311057647825755,0.0869188890538134,0.14880215235895333
threshold,pixel,1.0,0.42569688608181605,0.08731003469552878,0.13448184395069362
threshold,sub-pixel,1.0,0.2822526584444049,0.0806481569097739,0.1205369432337875
canny,pixel,1.0,0.4757851254571298,0.18899616751718606,0.268780935292958
canny,sub-pixel,1.0,0.2822526584444049,0.0806481569097739,0.1205369432337875
threshold,pixel,1.0,0.4268459896103801,0.08563735423947216,0.1349007761311536
threshold,sub-pixel,1.0,0.2806209328193591,0.09047072914888588,0.15152999865924177
canny,pixel,1.0,0.5053739674460603,0.21391601319972986,0.30183887267310583
canny,sub-pixel,1.0,0.2806209328193591,0.09047072914888588,0.15152999865924177
