method,k_n,precision_sigma_W,lwr_mae,ler_mae,edge_mae
seg-only,0.3,0.002138318233695221,0.029514910847259063,0.02429663131867225,0.22349423595005646
seg-only,1.0,0.003954028385426985,0.029203046307278175,0.02414853370282799,0.2290659196053942
seg-only,2.0,0.0059185169954313705,0.02976428628123055,0.024003878332829725,0.23906309083880237
seg-only,4.0,0.008555501988060618,0.028699522158907104,0.022727576608303934,0.25833892620479065
seg+pos,0.3,0.0021940688464686295,0.03048272958646218,0.025301170884631574,0.22352618054719642
seg+pos,1.0,0.004089244821140407,0.03060761101854344,0.0253659487546732,0.22915471942784885
seg+pos,2.0,0.006029331875045803,0.030705590965226293,0.02487407667407145,0.23908703667499745
seg+pos,4.0,0.00879255086814131,0.029770504178789754,0.023644942353712395,0.25846694231343764
seg+pos+rms,0.3,0.0023733293428449542,0.01837656165783604,0.01407081565897291,0.22980628676790124
seg+pos+rms,1.0,0.004435118446053821,0.019963627913966775,0.01396388296658794,0.23723296211877218
seg+pos+rms,2.0,0.00651722122014083,0.020504354654500883,0.01379736353798459,0.24965216405689716
seg+pos+rms,4.0,0.00934376554141636,0.022778746594364446,0.013705019994328419,0.27246337599353865
seg+pos+rms+psd,0.3,0.002538504944216887,0.019836986864296097,0.014027229510247707,0.23189169890247285
seg+pos+rms+psd,1.0,0.004540889062506419,0.020713825710117817,0.01400522191155081,0.23942695014799634
seg+pos+rms+psd,2.0,0.006731682595273014,0.021445950454411406,0.014059803332202137,0.25218714426349226
seg+pos+rms+psd,4.0,0.009541638697555754,0.023002990482685465,0.013446191403393945,0.2754477719039035
full,0.3,0.0023295143502461237,0.019252437283284962,0.013202475752526274,0.2363245239830576
full,1.0,0.004160953142976116,0.020251845475286245,0.013196720082002381,0.24162743729539216
full,2.0,0.006228392407138017,0.021162896261860926,0.013651219293630371,0.2508500620218304
full,4.0,0.008843335265434385,0.021953697296946,0.013481930422130972,0.26695282018044963
