method,seed,config,logpsd_L_all,logpsd_L_low,logpsd_L_mid,logpsd_L_high,logpsd_R_all,logpsd_R_low,logpsd_R_mid,logpsd_R_high,logpsd_W_all,logpsd_W_low,logpsd_W_mid,logpsd_W_high,logpsd_mean_all
seg-only,0,"(1.5, 8.0, 0.3, 0.0)",0.10684497654438019,0.02641594409942627,0.0743112713098526,0.17649978399276733,0.1595827341079712,0.028446495532989502,0.11995230615139008,0.2597375810146332,0.16453713178634644,0.02429521083831787,0.13931861519813538,0.2544826865196228,0.14365494747956595
seg-only,0,"(1.5, 8.0, 0.3, 0.0)",0.13354210555553436,0.052691422402858734,0.05491415038704872,0.24948576092720032,0.2601729929447174,0.048949241638183594,0.09517621994018555,0.5226576924324036,0.15725839138031006,0.06648480892181396,0.06007709354162216,0.29633522033691406,0.18365782996018729
seg-only,0,"(1.5, 8.0, 0.3, 0.0)",0.109048031270504,0.024639587849378586,0.1298973560333252,0.12715646624565125,0.1837838590145111,0.030000409111380577,0.14914417266845703,0.28940054774284363,0.14634349942207336,0.0277278833091259,0.10413896292448044,0.24329370260238647,0.14639179656902948
seg-only,0,"(1.5, 8.0, 0.3, 0.0)",0.16103628277778625,0.033538203686475754,0.11400336027145386,0.2669145166873932,0.17196118831634521,0.0314730629324913,0.12680312991142273,0.2819599509239197,0.1614936888217926,0.04246370121836662,0.09444860368967056,0.28347569704055786,0.16483038663864136
seg-only,0,"(1.5, 8.0, 0.3, 0.0)",0.14603671431541443,0.052841924130916595,0.11834293603897095,0.21674351394176483,0.18432185053825378,0.030588548630475998,0.0978066623210907,0.34179094433784485,0.13465291261672974,0.04199596494436264,0.0865839421749115,0.2254866510629654,0.15500382582346597
seg-only,0,"(1.5, 8.0, 0.3, 0.0)",0.12474975734949112,0.045241933315992355,0.10371944308280945,0.1824760138988495,0.12402795255184174,0.036640465259552,0.11325211077928543,0.1751365065574646,0.13115128874778748,0.05997709557414055,0.08147627860307693,0.21367596089839935,0.1266429995497068
seg-only,0,"(1.5, 8.0, 0.3, 0.0)",0.14297190308570862,0.04139658063650131,0.12184996157884598,0.2109747678041458,0.18443584442138672,0.07656596601009369,0.08358295261859894,0.33507487177848816,0.14908075332641602,0.04491680860519409,0.13735270500183105,0.20888449251651764,0.15882950027783713
seg-only,0,"(1.5, 8.0, 0.3, 0.0)",0.14399409294128418,0.030882656574249268,0.11362261325120926,0.22657082974910736,0.1564265489578247,0.05334806442260742,0.09240058809518814,0.2680272161960602,0.15745340287685394,0.06021726131439209,0.11514182388782501,0.2446432262659073,0.1526246815919876
seg-only,0,"(1.5, 8.0, 0.3, 0.0)",0.14288949966430664,0.022736072540283203,0.13152296841144562,0.2097114473581314,0.12205802649259567,0.02252849005162716,0.10341881215572357,0.18663395941257477,0.11513196676969528,0.026210546493530273,0.07853240519762039,0.19277220964431763,0.12669316430886587
seg-only,0,"(1.5, 8.0, 0.3, 0.0)",0.1698262244462967,0.047021787613630295,0.09343791007995605,0.3028934895992279,0.17006194591522217,0.03095291182398796,0.19420811533927917,0.21011994779109955,0.18177944421768188,0.04065176099538803,0.11533699184656143,0.31335777044296265,0.17388920485973358
seg-only,0,"(1.5, 8.0, 0.3, 0.0)",0.12709975242614746,0.08626773208379745,0.09343861043453217,0.17960643768310547,0.17692922055721283,0.034400444477796555,0.11721943318843842,0.30242154002189636,0.17052476108074188,0.0869169682264328,0.10504112392663956,0.27459660172462463,0.1581845780213674
seg-only,0,"(1.5, 8.0, 0.3, 0.0)",0.1121438592672348,0.04091425985097885,0.054370515048503876,0.20279239118099213,0.15738490223884583,0.034278690814971924,0.1388719528913498,0.23271609842777252,0.1499527543783188,0.04741009324789047,0.09622684121131897,0.2510060667991638,0.13982717196146646
seg-only,0,"(1.5, 8.0, 0.3, 0.0)",0.22406484186649323,0.024169445037841797,0.17064400017261505,0.369745135307312,0.1839444935321808,0.049292050302028656,0.07025597244501114,0.35978031158447266,0.1508021056652069,0.032986801117658615,0.08874457329511642,0.2672359347343445,0.18627048035462698
seg-only,0,"(1.5, 8.0, 0.3, 0.0)",0.11989617347717285,0.052897095680236816,0.10939635336399078,0.16131865978240967,0.21391209959983826,0.02934841439127922,0.1528143435716629,0.360193133354187,0.16653144359588623,0.019796371459960938,0.06657661497592926,0.33421018719673157,0.16677990555763245
seg-only,0,"(1.5, 8.0, 0.3, 0.0)",0.09290090203285217,0.037063322961330414,0.09088017791509628,0.12069281935691833,0.15329813957214355,0.05133001133799553,0.13432960212230682,0.2193288952112198,0.126076340675354,0.04321619123220444,0.0917203426361084,0.1986754983663559,0.1240917940934499
seg-only,0,"(1.5, 8.0, 0.3, 0.3)",0.14783000946044922,0.03923259302973747,0.10574690252542496,0.2400350123643875,0.09718535840511322,0.029261669144034386,0.07620631158351898,0.1495138257741928,0.10387704521417618,0.05004839226603508,0.11099284887313843,0.12160523235797882,0.11629747102657954
seg-only,0,"(1.5, 8.0, 0.3, 0.3)",0.14217644929885864,0.03693084046244621,0.11193268746137619,0.22099514305591583,0.14733195304870605,0.02354164980351925,0.09982004761695862,0.25197792053222656,0.1474788784980774,0.03759133815765381,0.11197929829359055,0.23369577527046204,0.14566242694854736
seg-only,0,"(1.5, 8.0, 0.3, 0.3)",0.14118358492851257,0.05509617179632187,0.09210205078125,0.22999781370162964,0.11403974890708923,0.018629711121320724,0.09337498992681503,0.17873993515968323,0.10496427118778229,0.05955851078033447,0.06528244912624359,0.16560260951519012,0.1200625350077947
seg-only,0,"(1.5, 8.0, 0.3, 0.3)",0.12267957627773285,0.03772352263331413,0.07248423248529434,0.21208542585372925,0.11289657652378082,0.04089006036520004,0.05357641354203224,0.20545050501823425,0.157659649848938,0.046816371381282806,0.12127098441123962,0.2452067732810974,0.1310786008834839
seg-only,0,"(1.5, 8.0, 0.3, 0.3)",0.12507057189941406,0.07051150500774384,0.09139569103717804,0.1839265674352646,0.14437997341156006,0.05230125039815903,0.11879414319992065,0.21246366202831268,0.1498672515153885,0.04309284687042236,0.11942297220230103,0.22959204018115997,0.13977259894212088
seg-only,0,"(1.5, 8.0, 0.3, 0.3)",0.11959334462881088,0.027294576168060303,0.08062801510095596,0.20115810632705688,0.10011875629425049,0.023982902988791466,0.07167698442935944,0.1637001484632492,0.09008876979351044,0.04240576550364494,0.07453856617212296,0.1276465356349945,0.10326695690552394
seg-only,0,"(1.5, 8.0, 0.3, 0.3)",0.11773529648780823,0.04845374822616577,0.07440828531980515,0.1930384337902069,0.10389383137226105,0.04765266180038452,0.09663853794336319,0.13710659742355347,0.12430627644062042,0.062454938888549805,0.13369567692279816,0.14346365630626678,0.11531180143356323
seg-only,0,"(1.5, 8.0, 0.3, 0.3)",0.10851375758647919,0.018257539719343185,0.09169472754001617,0.1669895201921463,0.21985287964344025,0.05198514461517334,0.16979961097240448,0.347383588552475,0.2111906260251999,0.08529742807149887,0.13328853249549866,0.3471972942352295,0.17985242108503977
seg-only,0,"(1.5, 8.0, 0.3, 0.3)",0.1794322282075882,0.05567840859293938,0.20813733339309692,0.2078443020582199,0.1419239044189453,0.06441931426525116,0.10371717810630798,0.21590200066566467,0.15961873531341553,0.06702101230621338,0.18683797121047974,0.17513692378997803,0.160324955979983
seg-only,0,"(1.5, 8.0, 0.3, 0.3)",0.20660632848739624,0.07270157337188721,0.13611438870429993,0.33890050649642944,0.16022980213165283,0.024599473923444748,0.10696087777614594,0.2760973274707794,0.17238840460777283,0.07078417390584946,0.14845280349254608,0.2432182878255844,0.17974151174227396
seg-only,0,"(1.5, 8.0, 0.3, 0.3)",0.13211503624916077,0.06336896121501923,0.08733051270246506,0.2086285501718521,0.11761236190795898,0.020040830597281456,0.09635432064533234,0.18390342593193054,0.12565714120864868,0.0809447392821312,0.09221385419368744,0.17973695695400238,0.12512817978858948
seg-only,0,"(1.5, 8.0, 0.3, 0.3)",0.14948490262031555,0.028217336162924767,0.17252878844738007,0.18241067230701447,0.15276005864143372,0.03630562871694565,0.10049805790185928,0.258770227432251,0.14110460877418518,0.06537982076406479,0.1614810675382614,0.15567806363105774,0.14778319001197815
seg-only,0,"(1.5, 8.0, 0.3, 0.3)",0.12361560761928558,0.03815817832946777,0.09447572380304337,0.19219739735126495,0.19655165076255798,0.04328819364309311,0.1507806032896042,0.3130597174167633,0.1602499783039093,0.046177029609680176,0.15732227265834808,0.21582677960395813,0.16013907889525095
seg-only,0,"(1.5, 8.0, 0.3, 0.3)",0.14171874523162842,0.034666817635297775,0.1299797147512436,0.20286637544631958,0.1898004710674286,0.03644494339823723,0.10857752710580826,0.3418028950691223,0.16682741045951843,0.04476507753133774,0.14420746266841888,0.24578382074832916,0.1661155422528585
seg-only,0,"(1.5, 8.0, 0.3, 0.3)",0.1535540521144867,0.03206455707550049,0.11924953013658524,0.24393068253993988,0.20059770345687866,0.05519986152648926,0.13400891423225403,0.3342931866645813,0.2031390368938446,0.04421375319361687,0.12660375237464905,0.353024423122406,0.18576359748840332
seg-only,0,"(1.5, 8.0, 0.3, 0.6)",0.1338215470314026,0.0627540796995163,0.06650222837924957,0.2339412122964859,0.1606634259223938,0.027981659397482872,0.0848974660038948,0.29766711592674255,0.18363647162914276,0.06863123178482056,0.15131986141204834,0.26903247833251953,0.1593738148609797
