method,seed,k_n,config,precision_sigma_L,precision_sigma_R,precision_sigma_W,pos_jitter,bias_sigma_L,bias_sigma_R,bias_sigma_W,ler_mae,lwr_mae,edge_mae
seg-only,0,0.3,"(1.5, 8.0, 0.3, 0.0)",0.00121104228310287,0.0014411922311410308,0.002371158916503191,0.03964809700846672,0.030629515647888184,0.03382599353790283,0.04170584678649902,0.0322277694940567,0.04170583188533783,0.23169869184494019
seg-only,0,0.3,"(1.5, 8.0, 0.3, 0.0)",0.0018918669084087014,0.0013946430990472436,0.002450645435601473,0.03984051197767258,0.04788994789123535,0.026463747024536133,0.030378341674804688,0.03717684745788574,0.0303783118724823,0.23524773120880127
seg-only,0,0.3,"(1.5, 8.0, 0.3, 0.0)",0.0015011020004749298,0.001150810276158154,0.0017355724703520536,0.04030203819274902,0.03073132038116455,0.056273818016052246,0.062415122985839844,0.04350252449512482,0.0624152272939682,0.2335563451051712
seg-only,0,0.3,"(1.5, 8.0, 0.3, 0.0)",0.001172999502159655,0.0015525659546256065,0.002244685310870409,0.03886367194354534,0.030524849891662598,0.03591322898864746,0.0708838701248169,0.03321901708841324,0.0708838701248169,0.2339828535914421
seg-only,0,1.0,"(1.5, 8.0, 0.3, 0.0)",0.00304549653083086,0.0010728285415098071,0.0032500282395631075,0.0740625225007534,0.058669090270996094,0.05607330799102783,0.08412814140319824,0.05737123638391495,0.08412817120552063,0.2440057098865509
seg-only,0,1.0,"(1.5, 8.0, 0.3, 0.0)",0.0035825648810714483,0.003696627449244261,0.0036853335332125425,0.07398881390690804,0.03003561496734619,0.04818129539489746,0.04451298713684082,0.039108484983444214,0.04451301693916321,0.24320995062589645
seg-only,0,1.0,"(1.5, 8.0, 0.3, 0.0)",0.00256793643347919,0.002548282966017723,0.003815719624981284,0.07166068628430367,0.033615708351135254,0.038495779037475586,0.06125473976135254,0.03605572134256363,0.0612545907497406,0.2453683838248253
seg-only,0,1.0,"(1.5, 8.0, 0.3, 0.0)",0.002169108483940363,0.0025509174447506666,0.0037975581362843513,0.07604262232780457,0.04910886287689209,0.033142685890197754,0.036054134368896484,0.04112579673528671,0.03605416417121887,0.23406481742858887
seg-only,0,2.0,"(1.5, 8.0, 0.3, 0.0)",0.00693347817286849,0.004864334594458342,0.008585983887314796,0.10748980939388275,0.03552711009979248,0.040875911712646484,0.08153200149536133,0.03820148855447769,0.08153203129768372,0.2457871437072754
seg-only,0,2.0,"(1.5, 8.0, 0.3, 0.0)",0.005166974849998951,0.0030054468661546707,0.006513247732073069,0.10875966027379036,0.02708613872528076,0.012377023696899414,0.01882028579711914,0.019731596112251282,0.01882031559944153,0.2410186231136322
seg-only,0,2.0,"(1.5, 8.0, 0.3, 0.0)",0.0031136234756559134,0.002171617466956377,0.005556078162044287,0.10874561220407486,0.03183269500732422,0.04467570781707764,0.06391716003417969,0.03825417160987854,0.0639171302318573,0.2592358738183975
seg-only,0,2.0,"(1.5, 8.0, 0.3, 0.0)",0.005701606161892414,0.0050002411007881165,0.007066220510751009,0.10932910442352295,0.06729626655578613,0.02198469638824463,0.06526899337768555,0.04464050382375717,0.06526899337768555,0.2525384873151779
seg-only,0,4.0,"(1.5, 8.0, 0.3, 0.0)",0.006631131283938885,0.005319456569850445,0.010881461203098297,0.16234242916107178,0.018837451934814453,0.015807151794433594,0.02724480628967285,0.017322301864624023,0.027244865894317627,0.26946595311164856
seg-only,0,4.0,"(1.5, 8.0, 0.3, 0.0)",0.006958307698369026,0.005212841089814901,0.011073244735598564,0.1595461070537567,0.02634596824645996,0.03283119201660156,0.029863834381103516,0.029588595032691956,0.029863953590393066,0.2664232552051544
seg-only,0,4.0,"(1.5, 8.0, 0.3, 0.0)",0.006712942384183407,0.00661326851695776,0.010039739310741425,0.16318557411432266,0.022171974182128906,0.03744089603424072,0.04684948921203613,0.029806479811668396,0.046849578619003296,0.2683534324169159
seg-only,0,4.0,"(1.5, 8.0, 0.3, 0.0)",0.007241491694003344,0.0051705739460885525,0.00839652493596077,0.16198188066482544,0.012605905532836914,0.013417840003967285,0.025249719619750977,0.013011910021305084,0.02524968981742859,0.2640307694673538
seg-only,0,0.3,"(1.5, 8.0, 0.3, 0.3)",0.0015351524343714118,0.0012860491406172514,0.0015106805367395282,0.04000176675617695,0.02727377414703369,0.04158127307891846,0.03759884834289551,0.03442747890949249,0.03759889304637909,0.23132667690515518
seg-only,0,0.3,"(1.5, 8.0, 0.3, 0.3)",0.0008758059702813625,0.0016499519115313888,0.00289722322486341,0.04047888703644276,0.019241690635681152,0.04009866714477539,0.02550041675567627,0.02967013418674469,0.02550041675567627,0.23683256655931473
seg-only,0,0.3,"(1.5, 8.0, 0.3, 0.3)",0.0016948862466961145,0.0012245727702975273,0.0018583431374281645,0.0406526867300272,0.01890575885772705,0.030972599983215332,0.01749253273010254,0.02493918687105179,0.01749250292778015,0.2386777102947235
seg-only,0,0.3,"(1.5, 8.0, 0.3, 0.3)",0.002011854900047183,0.00116147066000849,0.002402024809271097,0.039955828338861465,0.035555124282836914,0.07587969303131104,0.0786435604095459,0.05571742355823517,0.07864357531070709,0.2384946122765541
seg-only,0,1.0,"(1.5, 8.0, 0.3, 0.3)",0.0035216512624174356,0.0026406932156533003,0.00389340752735734,0.07355047762393951,0.014053940773010254,0.05895507335662842,0.029129862785339355,0.03650449216365814,0.02912987768650055,0.24056313931941986
seg-only,0,1.0,"(1.5, 8.0, 0.3, 0.3)",0.0036629957612603903,0.0031412479002028704,0.004696852993220091,0.07609706744551659,0.030468225479125977,0.03159952163696289,0.03963446617126465,0.031033940613269806,0.03963454067707062,0.24253423511981964
seg-only,0,1.0,"(1.5, 8.0, 0.3, 0.3)",0.00181597622577101,0.003437737235799432,0.003167909337207675,0.07490266114473343,0.033467888832092285,0.05006849765777588,0.05296587944030762,0.04176821559667587,0.05296580493450165,0.2433684691786766
seg-only,0,1.0,"(1.5, 8.0, 0.3, 0.3)",0.0023877001367509365,0.002677347045391798,0.004165122751146555,0.07309120148420334,0.039661526679992676,0.04683268070220947,0.04477083683013916,0.04324706643819809,0.04477071762084961,0.24254140257835388
seg-only,0,2.0,"(1.5, 8.0, 0.3, 0.3)",0.004264445975422859,0.004676382057368755,0.004531014245003462,0.10979438945651054,0.0060198307037353516,0.037255167961120605,0.02406001091003418,0.021673351526260376,0.024059966206550598,0.25194545090198517
seg-only,0,2.0,"(1.5, 8.0, 0.3, 0.3)",0.0041230954229831696,0.0035617377143353224,0.007933780550956726,0.11083260923624039,0.042983293533325195,0.029674291610717773,0.03633880615234375,0.0363287627696991,0.03633880615234375,0.24635159224271774
seg-only,0,2.0,"(1.5, 8.0, 0.3, 0.3)",0.0034362119622528553,0.00427635433152318,0.006728419102728367,0.10775676742196083,0.029159903526306152,0.014174103736877441,0.011747241020202637,0.021667033433914185,0.011747181415557861,0.24983970820903778
seg-only,0,2.0,"(1.5, 8.0, 0.3, 0.3)",0.003664134070277214,0.004195800982415676,0.006785466801375151,0.10774019733071327,0.034652113914489746,0.042943477630615234,0.04901325702667236,0.038797736167907715,0.04901328682899475,0.24335135519504547
seg-only,0,4.0,"(1.5, 8.0, 0.3, 0.3)",0.005744773428887129,0.008249727077782154,0.005381252616643906,0.16271980851888657,0.044441819190979004,0.040268659591674805,0.043564438819885254,0.04235529899597168,0.04356446862220764,0.2815364599227905
seg-only,0,4.0,"(1.5, 8.0, 0.3, 0.3)",0.006155681796371937,0.0042365845292806625,0.007117720320820808,0.16143298894166946,0.030062198638916016,0.04500734806060791,0.03173637390136719,0.03753480315208435,0.03173638880252838,0.2676011472940445
seg-only,0,4.0,"(1.5, 8.0, 0.3, 0.3)",0.009538675658404827,0.0041059162467718124,0.009355612099170685,0.1592448651790619,0.008271455764770508,0.04770863056182861,0.013766169548034668,0.029007278382778168,0.01390869915485382,0.2667471617460251
seg-only,0,4.0,"(1.5, 8.0, 0.3, 0.3)",0.007077987305819988,0.0049869343638420105,0.005379948765039444,0.1665996015071869,0.03541874885559082,0.03260016441345215,0.025267958641052246,0.034009456634521484,0.025268003344535828,0.26805415749549866
seg-only,0,0.3,"(1.5, 8.0, 0.3, 0.6)",0.0014270235551521182,0.001355120213702321,0.0015576693695038557,0.040408648550510406,0.02192819118499756,0.06443202495574951,0.01639711856842041,0.04318005591630936,0.016397103667259216,0.23401115089654922
seg-only,0,0.3,"(1.5, 8.0, 0.3, 0.6)",0.0020556736271828413,0.0015805374132469296,0.0008926965529099107,0.03946764953434467,0.0650402307510376,0.04413604736328125,0.01403510570526123,0.05458809435367584,0.0140351802110672,0.22845247387886047
seg-only,0,0.3,"(1.5, 8.0, 0.3, 0.6)",0.0013463189825415611,0.0015219523338600993,0.0015101174358278513,0.038415124639868736,0.04276537895202637,0.01734626293182373,0.023111462593078613,0.03005582094192505,0.023111492395401,0.22835439443588257
seg-only,0,0.3,"(1.5, 8.0, 0.3, 0.6)",0.0014200110454112291,0.0011741463094949722,0.002021662425249815,0.04005031660199165,0.02155590057373047,0.03477180004119873,0.036940574645996094,0.028163813054561615,0.03694051504135132,0.24069589376449585
seg-only,0,1.0,"(1.5, 8.0, 0.3, 0.6)",0.0023024503607302904,0.002322328044101596,0.004394622053951025,0.07342290133237839,0.03802788257598877,0.0396428108215332,0.026076674461364746,0.03883527219295502,0.02607661485671997,0.2362494319677353
seg-only,0,1.0,"(1.5, 8.0, 0.3, 0.6)",0.0038161207921802998,0.0034698585513979197,0.004695720039308071,0.07433512434363365,0.01725172996520996,0.028958439826965332,0.003270745277404785,0.023105069994926453,0.004252195358276367,0.23640275746583939
seg-only,0,1.0,"(1.5, 8.0, 0.3, 0.6)",0.003128813114017248,0.0026595823001116514,0.004595832899212837,0.07536588981747627,0.03589427471160889,0.03663623332977295,0.005342245101928711,0.03626524657011032,0.005754128098487854,0.24031702429056168
seg-only,0,1.0,"(1.5, 8.0, 0.3, 0.6)",0.001536106807179749,0.0037104703951627016,0.0030915383249521255,0.07523773238062859,0.02897322177886963,0.03986632823944092,0.008520960807800293,0.034419797360897064,0.008520945906639099,0.2446398064494133
seg-only,0,2.0,"(1.5, 8.0, 0.3, 0.6)",0.004564629402011633,0.004618434701114893,0.006186098325997591,0.11015717312693596,0.03608965873718262,0.0320202112197876,0.005537986755371094,0.034054942429065704,0.006864503026008606,0.2539221942424774
seg-only,0,2.0,"(1.5, 8.0, 0.3, 0.6)",0.00522203603759408,0.003335918765515089,0.008047256618738174,0.10717001184821129,0.020528316497802734,0.01820063591003418,0.06268060207366943,0.01936452090740204,0.06268060207366943,0.25263573229312897
seg-only,0,2.0,"(1.5, 8.0, 0.3, 0.6)",0.0027687042020261288,0.0037338323891162872,0.002669910667464137,0.10906092077493668,0.0431138277053833,0.046689510345458984,0.013153433799743652,0.044901661574840546,0.013153433799743652,0.2569965273141861
seg-only,0,2.0,"(1.5, 8.0, 0.3, 0.6)",0.005329382140189409,0.004942405037581921,0.006651406176388264,0.11026240140199661,0.01624464988708496,0.03979599475860596,0.02436971664428711,0.028020299971103668,0.024369671940803528,0.2469502091407776
seg-only,0,4.0,"(1.5, 8.0, 0.3, 0.6)",0.003725713351741433,0.0028735243249684572,0.008230050094425678,0.16412565112113953,0.03278923034667969,0.021485567092895508,0.021860718727111816,0.027137458324432373,0.021860703825950623,0.2743496596813202
seg-only,0,4.0,"(1.5, 8.0, 0.3, 0.6)",0.00607259850949049,0.006811548490077257,0.007023049984127283,0.1663520634174347,0.03043198585510254,0.03088366985321045,0.02847301959991455,0.03065779060125351,0.028473034501075745,0.26741650700569153
seg-only,0,4.0,"(1.5, 8.0, 0.3, 0.6)",0.007363996002823114,0.004409808199852705,0.006324816960841417,0.16202804446220398,0.0383305549621582,0.045735955238342285,0.01127326488494873,0.04203327000141144,0.0112733393907547,0.26274171471595764
seg-only,0,4.0,"(1.5, 8.0, 0.3, 0.6)",0.009889423847198486,0.0048350123688578606,0.010966991074383259,0.1635284274816513,0.03220093250274658,0.025133132934570312,0.031665802001953125,0.028667062520980835,0.031665876507759094,0.27109548449516296
seg-only,0,0.3,"(1.5, 8.0, 0.3, -0.3)",0.0011864968109875917,0.0018901150906458497,0.0018693997990339994,0.040980108082294464,0.02596879005432129,0.043681979179382324,0.05596280097961426,0.0348254069685936,0.05596292018890381,0.22868257761001587
seg-only,0,0.3,"(1.5, 8.0, 0.3, -0.3)",0.001324829296208918,0.002003304660320282,0.0021374875213950872,0.03984569385647774,0.04499673843383789,0.021045565605163574,0.05715370178222656,0.03302115947008133,0.057153552770614624,0.23392950743436813
seg-only,0,0.3,"(1.5, 8.0, 0.3, -0.3)",0.0021315773483365774,0.0011665667407214642,0.0028093510773032904,0.04009937308728695,0.03400003910064697,0.04408562183380127,0.0693821907043457,0.03904280811548233,0.06938210129737854,0.23460499942302704
seg-only,0,0.3,"(1.5, 8.0, 0.3, -0.3)",0.0013862777268514037,0.002230234444141388,0.0029473332688212395,0.03982478380203247,0.051966071128845215,0.017026543617248535,0.06109356880187988,0.03449629247188568,0.061093538999557495,0.23008044809103012
seg-only,0,1.0,"(1.5, 8.0, 0.3, -0.3)",0.0031100285705178976,0.003720833221450448,0.00399680295959115,0.0735870711505413,0.03857016563415527,0.055440425872802734,0.07426142692565918,0.04700527340173721,0.07426142692565918,0.23944500088691711
seg-only,0,1.0,"(1.5, 8.0, 0.3, -0.3)",0.002540526445955038,0.002653244649991393,0.0019822041504085064,0.07451940327882767,0.050756216049194336,0.050911545753479004,0.07489752769470215,0.05083388090133667,0.0748976469039917,0.2408328652381897
seg-only,0,1.0,"(1.5, 8.0, 0.3, -0.3)",0.001909965300001204,0.002488847356289625,0.0018685084069147706,0.07446537911891937,0.026142358779907227,0.040857672691345215,0.06296992301940918,0.03350003808736801,0.0629698634147644,0.24335483461618423
seg-only,0,1.0,"(1.5, 8.0, 0.3, -0.3)",0.0029938470106571913,0.0027556251734495163,0.004732875153422356,0.07447921112179756,0.051186561584472656,0.047127723693847656,0.07473015785217285,0.04915718734264374,0.07472997903823853,0.24751747399568558
seg-only,0,2.0,"(1.5, 8.0, 0.3, -0.3)",0.004044006112962961,0.0034679751843214035,0.0048660216853022575,0.10606737062335014,0.0556563138961792,0.038280606269836426,0.07386112213134766,0.046968430280685425,0.07386121153831482,0.24597302079200745
seg-only,0,2.0,"(1.5, 8.0, 0.3, -0.3)",0.0031513189896941185,0.00301305647008121,0.004900092724710703,0.1074632927775383,0.010791540145874023,0.04172253608703613,0.04041695594787598,0.026256971061229706,0.04041719436645508,0.24785736948251724
seg-only,0,2.0,"(1.5, 8.0, 0.3, -0.3)",0.0024824219290167093,0.0018934294348582625,0.003973259590566158,0.11066516861319542,0.04568624496459961,0.03661799430847168,0.06390571594238281,0.04115211218595505,0.06390565633773804,0.25437958538532257
seg-only,0,2.0,"(1.5, 8.0, 0.3, -0.3)",0.0049445354379713535,0.004700939171016216,0.0060170539654791355,0.108232781291008,0.04069972038269043,0.047010064125061035,0.07176065444946289,0.04385489970445633,0.07176053524017334,0.25656858086586
seg-only,0,4.0,"(1.5, 8.0, 0.3, -0.3)",0.005250042304396629,0.007817116566002369,0.010558867827057838,0.16152618825435638,0.02626967430114746,0.015176773071289062,0.019161701202392578,0.02072329819202423,0.019161611795425415,0.27623990178108215
seg-only,0,4.0,"(1.5, 8.0, 0.3, -0.3)",0.005226563662290573,0.007351656444370747,0.0120917446911335,0.15933771431446075,0.030020833015441895,0.03441762924194336,0.06387758255004883,0.03221925348043442,0.06387746334075928,0.2783116400241852
seg-only,0,4.0,"(1.5, 8.0, 0.3, -0.3)",0.006065996363759041,0.007886185310781002,0.007950691506266594,0.16556888073682785,0.02937638759613037,0.010640621185302734,0.049842119216918945,0.02000851184129715,0.04984205961227417,0.2675968408584595
seg-only,0,4.0,"(1.5, 8.0, 0.3, -0.3)",0.004044555593281984,0.0046408218331635,0.009062478318810463,0.16219761222600937,0.03802919387817383,0.05344843864440918,0.07395505905151367,0.045738786458969116,0.07395505905151367,0.26787158846855164
