,mean,std,min,max,count
sigma_L,59.315259791147106,42.95071783808777,0.9327826986384684,175.78173231047347,74.0
sigma_R,57.112563870045356,36.461498788133206,0.7470699989203122,144.1322959870487,74.0
sigma_W,55.375396525688316,40.62657421939805,1.5302250515106466,186.38437123367456,74.0
mean_linewidth,56.97839245495496,55.93731754928155,2.24375,253.68541666666667,74.0
xi_L,12.866476362367491,2.519468152843657,5.824733821039418,23.058192202441482,74.0
alpha_L,0.9433769169871908,0.05697390652560883,0.45989192342343477,0.9499999999999998,74.0
xi_R,12.7448534307717,7.52406005535193,0.5000000000000004,69.81163411285675,74.0
alpha_R,0.9269862574312745,0.12746110353070375,0.05000000000000001,0.9499999999999998,74.0
xi_W,11.036462334175596,3.6539131328108003,0.5000000000000001,21.91100854755167,74.0
alpha_W,0.9309067556946541,0.11356900642763071,0.05000000000000001,0.9499999999999998,74.0
